"Date","Plot","Grazed","total_mass"
"2004",31,"g",206.034
"2004",36,"g",24.562
"2004",41,"g",146.3
"2004",62,"g",43.868
"2004",68,"g",70.4
"2004",91,"g",110.692
"2004",128,"g",18.138
"2004",133,"g",70
"1998",1,"pre",1172.1
"1998",2,"pre",808.8
"1998",3,"pre",359.95
"1998",4,"pre",431.1
"1998",5,"pre",1655.1
"1998",6,"pre",703.7
"1998",7,"pre",1040.25
"1998",8,"pre",418.7
"1998",9,"pre",501.69
"1998",10,"pre",981
"1998",11,"pre",252.852
"1998",12,"pre",289.166
"1998",13,"pre",573.056
"1998",14,"pre",1651.2
"1998",15,"pre",1013.6
"1998",16,"pre",560.85
"1998",17,"pre",1176.05
"1998",18,"pre",1029.9
"1998",19,"pre",868.85
"1998",20,"pre",510.244
"1998",21,"pre",159.2
"1998",22,"pre",172.65
"1998",23,"pre",256.3
"1998",24,"pre",1063.16
"1998",25,"pre",288.738
"1998",26,"pre",1683.816
"1998",27,"pre",685.324
"1998",28,"pre",1401.446
"1998",29,"pre",814.53
"1998",30,"pre",860.2
"1998",31,"pre",958.55
"1998",32,"pre",1659
"1998",33,"pre",1187.27
"1998",34,"pre",1373.576
"1998",35,"pre",542.25
"1998",36,"pre",64.462
"1998",37,"pre",698.55
"1998",38,"pre",466.05
"1998",39,"pre",348.566
"1998",40,"pre",767.7
"1998",41,"pre",745.55
"1998",42,"pre",988
"1998",43,"pre",291.9
"1998",44,"pre",649.75
"1998",45,"pre",1220.236
"1998",46,"pre",1056.602
"1998",47,"pre",1539.75
"1998",48,"pre",771.75
"1998",49,"pre",534.496
"1998",51,"pre",296.35
"1998",52,"pre",1062.15
"1998",53,"pre",713.6
"1998",54,"pre",469.7
"1998",62,"pre",466.86
"1998",63,"pre",451.3
"1998",64,"pre",503.75
"1998",65,"pre",240.46
"1998",66,"pre",99.6
"1998",67,"pre",1720.1
"1998",69,"pre",1599.15
"1998",70,"pre",1605.806
"1998",75,"pre",1060.35
"1998",76,"pre",1099.636
"1998",77,"pre",345.5
"1998",78,"pre",1991.75
"2005",67,"g",254.4
"2005",115,"g",222.46
"2005",117,"g",468.5
"1996",72,"pre",652.5
"1996",73,"pre",257.7
"1996",74,"pre",299.9
"1996",75,"pre",423.2
"1996",76,"pre",631
"1996",77,"pre",376.3
"1996",78,"pre",391
"1996",79,"pre",81.2
"1996",80,"pre",751.4
"1996",81,"pre",117.9
"1996",82,"pre",1167
"1996",83,"pre",343.4
"1996",84,"pre",1311.3
"1996",85,"pre",382.8
"1996",86,"pre",655.9
"1996",87,"pre",851.3
"1996",88,"pre",736.4
"1996",89,"pre",548.8
"1996",90,"pre",124.9
"1996",91,"pre",615
"1996",92,"pre",165.6
"1996",93,"pre",472.3
"1996",94,"pre",521.6
"1996",95,"pre",673.7
"1996",96,"pre",536.8
"1996",97,"pre",708.1
"1996",98,"pre",817.6
"1996",99,"pre",813.3
"1996",100,"pre",267.4
"1996",101,"pre",344.6
"1996",102,"pre",309.3
"1996",103,"pre",2095.6
"1996",104,"pre",503.5
"1996",105,"pre",322.6
"1996",106,"pre",1473.5
"1996",107,"pre",1501.2
"1996",108,"pre",428.5
"1996",109,"pre",897.5
"1996",110,"pre",301.5
"1996",111,"pre",276.6
"1996",112,"pre",933.9
"1996",113,"pre",75.7
"1996",114,"pre",77.4
"1996",115,"pre",273.4
"1996",116,"pre",1039.6
"1996",117,"pre",659.7
"1996",118,"pre",519.6
"1996",119,"pre",315.6
"1996",120,"pre",337.2
"1996",121,"pre",470.9
"1996",122,"pre",330.8
"1996",123,"pre",760.6
"1996",124,"pre",682.9
"1996",125,"pre",378.2
"1996",126,"pre",840.7
"1996",127,"pre",879.9
"1996",128,"pre",488.4
"1996",129,"pre",682.1
"1996",130,"pre",278.7
"1996",131,"pre",917.8
"1996",132,"pre",353.6
"1996",133,"pre",270.4
"1996",134,"pre",224.6
"1996",135,"pre",562.7
"1996",136,"pre",387.4
"1996",137,"pre",904.5
"1996",138,"pre",870.4
"1996",139,"pre",453.9
"1996",140,"pre",669
"1996",141,"pre",676
"1996",142,"pre",1030.6
"1996",143,"pre",336.1
"1996",144,"pre",465.6
"1996",145,"pre",189.3
"1996",146,"pre",575.2
"1996",147,"pre",101
"2004",64,"ug",28.234
"2004",92,"ug",41.664
"2004",96,"ug",69.866
"2004",97,"ug",68.766
"2004",99,"ug",125.998
"2004",101,"ug",103.432
"2004",105,"ug",55.824
"2004",106,"ug",142.868
"2004",110,"ug",166.558
"2004",121,"ug",151.464
"2004",123,"ug",229.3
"2004",128,"ug",82.198
"2004",129,"ug",134.6
"2004",132,"ug",196.57
"2004",133,"ug",142.24
"2004",134,"ug",71.956
"2004",32,"g",154.2
"2004",44,"g",103.702
"2004",46,"g",152.366
"2004",58,"g",99.9
"2004",59,"g",161.766
"2004",65,"g",94
"2004",130,"g",129.198
"2004",131,"g",103.8
"1997",1,"pre",1083.9
"1997",2,"pre",1156.7
"1997",3,"pre",326.25
"1997",4,"pre",524.31
"1997",5,"pre",1163
"1997",6,"pre",218.4
"1997",7,"pre",687.69
"1997",8,"pre",1044.3
"1997",9,"pre",760.3
"1997",10,"pre",201.35
"1997",11,"pre",151.4
"1997",12,"pre",294.01
"1997",13,"pre",380.51
"1997",14,"pre",1502.41
"1997",15,"pre",796.4
"1997",16,"pre",882.63
"1997",17,"pre",865.7
"1997",19,"pre",860.2
"1997",20,"pre",67.8
"1997",21,"pre",169.7
"1997",22,"pre",250.93
"1997",23,"pre",288.52
"1997",24,"pre",1147.51
"1997",25,"pre",724.4
"1997",26,"pre",647.7
"1997",27,"pre",589.24
"1997",28,"pre",967.3
"1997",30,"pre",890.01
"1997",31,"pre",590.7
"1997",32,"pre",1149.9
"1997",33,"pre",231.04
"1997",35,"pre",132.55
"1997",36,"pre",150.56
"1997",38,"pre",443.65
"1997",39,"pre",422.41
"1997",43,"pre",43.5
"1997",44,"pre",599.61
"1997",45,"pre",512.2
"1997",46,"pre",953.6
"1997",48,"pre",774.9
"1997",49,"pre",290.8
"1997",50,"pre",198.1
"1997",51,"pre",668.44
"1997",52,"pre",746
"1997",53,"pre",569.8
"1997",54,"pre",515.2
"1997",55,"pre",332.03
"1997",56,"pre",699
"1998",50,"pre",609.2
"1998",55,"pre",869.77
"1998",56,"pre",899.85
"1998",57,"pre",974.3
"1998",58,"pre",791.45
"1998",59,"pre",382.35
"1998",60,"pre",852.6
"1998",61,"pre",1012.366
"1998",68,"pre",2678.9
"1998",71,"pre",341.35
"1998",72,"pre",1069.1
"1998",73,"pre",966.65
"1998",74,"pre",1258.6
"1998",79,"pre",961.4
"1998",80,"pre",2687.1
"1998",83,"pre",570.846
"1998",84,"pre",1489.5
"1998",85,"pre",786.45
"1998",86,"pre",1119.706
"1998",87,"pre",2134.592
"1998",88,"pre",2197.95
"1998",89,"pre",1421.75
"1998",90,"pre",209.25
"1998",91,"pre",1415.85
"1998",92,"pre",230.87
"1998",93,"pre",1062.286
"1998",94,"pre",1320.996
"1998",95,"pre",2047.696
"1998",97,"pre",294.716
"1998",98,"pre",1193.612
"1998",119,"pre",442.7
"1998",134,"pre",884.2
"1999",1,"pre",1479.3
"1999",2,"pre",641.95
"1999",3,"pre",387.5
"1999",4,"pre",294.85
"1999",5,"pre",1686.9
"1999",6,"pre",588.6
"1999",7,"pre",919.2
"1999",8,"pre",635.5
"1999",9,"pre",1034.15
"1999",10,"pre",602.2
"1999",11,"pre",584.95
"1999",12,"pre",120.4
"1999",13,"pre",814.85
"1999",14,"pre",1365.1
"1999",15,"pre",825.05
"1999",16,"pre",1582.85
"1999",17,"pre",2330.1
"1999",18,"pre",986.7
"1999",19,"pre",1475.5
"1999",20,"pre",60.25
"1999",21,"pre",252.95
"1999",22,"pre",164.25
"1999",23,"pre",314
"1999",24,"pre",342.85
"1999",25,"pre",307.65
"1999",26,"pre",1497.25
"1999",27,"pre",472.3
"1999",28,"pre",1234.3
"1999",29,"pre",1024.35
"1999",30,"pre",965.85
"1999",31,"pre",715.7
"1999",32,"pre",1738.65
"1999",33,"pre",1099.7
"1999",34,"pre",1092.75
"1999",35,"pre",270.8
"1999",36,"pre",169.5
"1999",37,"pre",739.45
"1999",38,"pre",656.95
"1999",39,"pre",525.6
"1999",40,"pre",1116.3
"1999",41,"pre",815.6
"1999",42,"pre",725.3
"1999",43,"pre",403.2
"1999",44,"pre",637.65
"1999",45,"pre",812.45
"1999",46,"pre",1359.6
"1999",47,"pre",833.5
"1999",48,"pre",561.75
"1999",49,"pre",745.05
"1999",50,"pre",830.45
"1999",51,"pre",830.45
"1999",52,"pre",1232.5
"1999",53,"pre",488.75
"1999",54,"pre",382.95
"1999",55,"pre",1410.1
"1999",56,"pre",306.25
"1999",57,"pre",1194.75
"1999",58,"pre",422.05
"1999",59,"pre",406.25
"1999",60,"pre",998.65
"1999",61,"pre",837.25
"1999",62,"pre",851.85
"1999",63,"pre",510.15
"1999",64,"pre",628.3
"1999",65,"pre",568.75
"1999",66,"pre",110.85
"1999",67,"pre",665.75
"2005",1,"ug",503.7
"2005",3,"ug",71.9
"2005",14,"ug",279
"2005",17,"ug",466
"2005",22,"ug",460.5
"2005",27,"ug",176.9
"2005",28,"ug",380.52
"2005",30,"ug",395.6
"2005",39,"ug",254.9
"2005",43,"ug",144.7
"2005",44,"ug",196.8
"2005",45,"ug",524.3
"2005",46,"ug",522
"2005",47,"ug",198.2
"2005",48,"ug",217
"2005",49,"ug",303.7
"2005",50,"ug",169.8
"2005",51,"ug",400.6
"2005",52,"ug",308.9
"2005",53,"ug",262.3
"2005",55,"ug",162.1
"2005",56,"ug",313.5
"2005",57,"ug",389.24
"2005",58,"ug",300.7
"2005",59,"ug",311.8
"2005",60,"ug",572.36
"2005",61,"ug",703.06
"2005",62,"ug",258.3
"2005",63,"ug",247.94
"2005",64,"ug",243.1
"2005",65,"ug",644.2
"2005",66,"ug",377.54
"2005",67,"ug",228.9
"2005",68,"ug",354.8
"2005",69,"ug",200.86
"2005",70,"ug",203.6
"2005",71,"ug",313.3
"2005",72,"ug",147.6
"2005",73,"ug",248.66
"2005",74,"ug",447.12
"2005",75,"ug",594
"2005",76,"ug",372.8
"2005",77,"ug",154.4
"2005",78,"ug",396.5
"2005",79,"ug",130.62
"2005",80,"ug",477.24
"2005",81,"ug",252.9
"2005",82,"ug",312.2
"2005",83,"ug",468.1
"2005",84,"ug",670.6
"2005",85,"ug",543.6
"2005",86,"ug",169.5
"2005",87,"ug",513.8
"2005",88,"ug",516.7
"2005",89,"ug",448.6
"2005",90,"ug",203.4
"2005",91,"ug",284.34
"2005",92,"ug",116.56
"2005",93,"ug",200.6
"2005",94,"ug",202.52
"2005",95,"ug",286.8
"2005",96,"ug",210.6
"2005",97,"ug",136.84
"2005",98,"ug",137.1
"2005",99,"ug",204.08
"2005",100,"ug",365.5
"2005",101,"ug",157.8
"2005",102,"ug",234.24
"2005",103,"ug",38.1
"2005",104,"ug",228.9
"2005",105,"ug",67.4
"2005",106,"ug",343.3
"2005",107,"ug",327.31
"2005",108,"ug",232.8
"2005",109,"ug",357.5
"2005",110,"ug",338.5
"2005",111,"ug",195.5
"2005",112,"ug",283.8
"2005",113,"ug",411
"2005",114,"ug",189.86
"2005",115,"ug",229.81
"2005",116,"ug",260.8
"2005",117,"ug",245.08
"2005",118,"ug",318.86
"2005",119,"ug",144.9
"2005",120,"ug",214.1
"2005",121,"ug",360.8
"2005",122,"ug",629.9
"2005",123,"ug",414.8
"2005",124,"ug",316.8
"2005",125,"ug",643.3
"2005",126,"ug",148.7
"2005",127,"ug",228.02
"2005",128,"ug",399.1
"2005",129,"ug",297.6
"2005",130,"ug",234.1
"2005",131,"ug",384.5
"2005",132,"ug",269.5
"2005",133,"ug",509
"2005",134,"ug",546.1
"2005",135,"ug",300.54
"2005",136,"ug",367.9
"2005",137,"ug",381.8
"2005",138,"ug",479.9
"2005",139,"ug",660.3
"2005",140,"ug",320.6
"2005",141,"ug",235.9
"2005",142,"ug",286.6
"2005",143,"ug",332.9
"2005",144,"ug",355.2
"2005",145,"ug",349
"2005",146,"ug",350.4
"2005",147,"ug",274.04
"1997",18,"pre",323.33
"1997",29,"pre",967.3
"1997",34,"pre",1170.92
"1997",37,"pre",1294.46
"1997",40,"pre",223.4
"1997",41,"pre",813
"1997",42,"pre",672.7
"1997",47,"pre",567.5
"1997",57,"pre",901
"1997",58,"pre",449.5
"1997",60,"pre",624.54
"1997",61,"pre",758.4
"1997",62,"pre",640.8
"1997",64,"pre",174.85
"1997",65,"pre",245.26
"1997",66,"pre",148.58
"1997",67,"pre",985.64
"1997",68,"pre",351.3
"1997",69,"pre",337.42
"1997",70,"pre",652.8
"1997",71,"pre",693.57
"1997",72,"pre",1800.47
"1997",73,"pre",298.7
"1997",74,"pre",1219.43
"1997",75,"pre",628.51
"1997",76,"pre",205.1
"1997",77,"pre",267.02
"1997",78,"pre",1215.45
"1997",79,"pre",212.6
"1997",80,"pre",812.8
"1997",81,"pre",532.2
"1997",82,"pre",641.25
"1997",83,"pre",474
"1997",85,"pre",1639.72
"1997",86,"pre",1525.4
"1997",87,"pre",1425.79
"1997",88,"pre",844.2
"1997",89,"pre",1327.9
"1997",90,"pre",96.1
"1997",92,"pre",399.3
"1997",93,"pre",844.6
"1997",94,"pre",857.02
"1997",95,"pre",657.66
"1997",96,"pre",710.46
"1998",81,"pre",1274.85
