year,fence,treatment,NEE
2015,3,W S,189.8437381
2015,4,C C,98.30069505
2015,4,C S,142.4225156
2015,4,W C,191.9741709
2015,4,W S,382.9030018
2015,5,C C,187.0231149
2015,5,C S,463.0854161
2015,5,W C,67.73348887
2015,5,W S,243.0540951
2015,6,C C,154.7694513
2015,6,C S,293.4632308
2015,6,W C,237.8856143
2015,6,W S,156.9249748
2016,1,C C,207.3268822
2016,1,C S,145.7091021
2016,1,W C,-144.8555696
2016,1,W S,375.8318096
2016,2,C C,253.8107333
2016,2,C S,111.2104073
2016,2,W C,98.98143981
2016,2,W S,253.2423865
2016,3,C C,187.3939557
2016,3,C S,152.6365626
2016,3,W C,12.83998766
2016,3,W S,85.0108976
2016,4,C C,115.8010659
2016,4,C S,136.3998834
2016,4,W C,-79.66123767
2016,4,W S,330.2333987
2016,5,C C,167.2070311
2016,5,C S,372.1441254
2016,5,W C,-12.74020399
2016,5,W S,42.93280745
2016,6,C C,73.19694489
2016,6,C S,210.5495521
2016,6,W C,77.12340632
2016,6,W S,104.9814092
2017,1,C C,279.1484094
2017,1,C S,347.4884598
2017,1,W C,-85.27708837
2017,1,W S,394.8051165
2017,2,C C,267.980807
2017,2,C S,193.6163204
2017,2,W C,267.1428994
2017,2,W S,330.6082506
2017,3,C C,178.1140501
2017,3,C S,215.9459439
2017,3,W C,206.5930296
2017,3,W S,336.2659596
2017,4,C C,88.12461617
2017,4,C S,68.0676905
2017,4,W C,11.13427241
2017,4,W S,283.3714362
2017,5,C C,208.7938454
2017,5,C S,488.4580688
2017,5,W C,51.06588582
2017,5,W S,316.0182777
2017,6,C C,156.9808968
2017,6,C S,211.2558663
2017,6,W C,160.1063684
2017,6,W S,212.6399215
2018,1,C C,143.6162522
2018,1,C S,296.9840569
2018,1,W C,-102.6109649
2018,1,W S,242.1962272
2018,2,C C,341.4532645
2018,2,C S,294.8222388
2018,2,W C,106.3048854
2018,2,W S,231.9858425
2018,3,C C,115.0455837
2018,3,C S,218.2718806
2018,3,W C,203.7001125
2018,3,W S,244.7159319
2018,4,C C,85.36330798
2018,4,C S,105.7219358
2018,4,W C,-92.58140527
2018,4,W S,181.4023961
2018,5,C C,121.2203362
2018,5,C S,369.0750173
2018,5,W C,17.70426993
2018,5,W S,121.6191391
2018,6,C C,95.74073611
2018,6,C S,213.4054238
2018,6,W C,93.28902948
2018,6,W S,188.6019923
2019,3,W C,187.9698159
2019,3,W S,72.35438964
2019,4,C C,92.64948429
2019,4,C S,62.91449016
2019,4,W C,56.42784889
2019,4,W S,290.5689143
2019,5,C C,-33.61051863
2019,5,W C,-22.90995879
2019,5,W S,204.6471367
2019,6,W C,83.61413663
2019,6,W S,53.66459921
2020,1,C C,92.12045019
2020,1,C S,338.6736581
2020,1,W C,-131.6043153
2020,1,W S,179.7980734
2020,2,C C,304.2008491
2020,2,C S,224.5837375
2020,2,W C,-61.02114134
2020,2,W S,441.9451216
2020,3,C C,342.5858122
2020,3,C S,362.4058798
2020,3,W C,14.03898974
2020,3,W S,232.9240858
2020,4,C C,92.14697031
2020,4,C S,103.026317
2020,4,W C,-92.9572666
2020,4,W S,78.23567594
2020,5,C C,160.5609534
2020,5,C S,402.9797142
2020,5,W C,56.82339092
2020,5,W S,158.3403739
2020,6,C C,263.9114094
2020,6,C S,331.1717174
2020,6,W C,242.6474156
2020,6,W S,409.718248
2021,1,C C,41.98699314
2021,1,C S,211.2981621
2021,1,W C,-89.63134474
2021,1,W S,176.7402358
2021,2,C C,253.9902166
2021,2,C S,216.7728516
2021,2,W C,82.91733824
2021,2,W S,156.9068461
2021,3,C C,112.2314853
2021,3,C S,261.3990899
2021,3,W C,-42.36470232
2021,3,W S,123.0906189
2021,4,C C,-18.59049005
2021,4,C S,55.75930396
2021,4,W C,-76.85187129
2021,4,W S,27.7119173
2021,5,C C,44.42334369
2021,5,C S,208.8081512
2021,5,W C,-23.09195725
2021,5,W S,178.5708443
2021,6,C C,277.7401289
2021,6,C S,195.884432
2021,6,W C,151.7544082
2021,6,W S,185.1739713
