"Year","WATERSHED","PLOT","DBH_mean","DBH_sd","n_trees"
2002,"WS07",70,9.27083333333333,4.8183958332413,24
2002,"WS08",1,27.2923076923077,19.7667659901004,52
2002,"WS08",2,44.8139534883721,42.2910019777671,43
2002,"WS08",3,47.9942857142857,45.4867527118491,35
2002,"WS08",4,38.6315789473684,35.1602593944184,38
2002,"WS08",5,38.2414634146341,39.0087424535177,41
2002,"WS08",6,47.1409090909091,47.8896714094556,22
2002,"WS08",7,34.5745098039216,27.2760396182236,51
2002,"WS08",8,44.7487179487179,45.6728980549094,39
2002,"WS08",9,29.890243902439,27.650712512321,41
2002,"WS08",10,24.0850746268657,25.9816675097126,67
2002,"WS08",11,23.9959459459459,26.9221477251356,74
2002,"WS08",12,17.3951807228916,18.7654125507181,83
2002,"WS08",13,42.6058823529412,24.6388328774213,34
2002,"WS08",14,38.0367346938775,26.3094144578637,49
2002,"WS08",15,24.5622222222222,27.1796543941193,90
2002,"WS08",16,25.9956989247312,23.263172584387,93
2002,"WS08",17,24.6258823529412,26.3060881643357,85
2002,"WS08",18,34.7755102040816,23.5323140473216,49
2002,"WS08",19,31.9229508196721,17.6916872517634,61
2002,"WS08",20,38.0355555555556,20.0843126883052,45
2002,"WS08",21,43.1704545454545,18.5086476274709,44
2002,"WS08",22,43.1434782608696,15.790287481359,46
2008,"WS06",4,17.451724137931,7.54124945547843,29
2008,"WS06",6,19.06,5.9937467413964,25
2008,"WS06",14,20.2636363636364,6.3987703008966,33
2008,"WS06",18,18.6888888888889,9.19909415830349,27
2008,"WS06",19,18.8086956521739,8.69654649551284,23
2008,"WS06",21,15.440625,5.50307007423452,32
2008,"WS06",23,20.0714285714286,8.75700173376021,28
2008,"WS06",25,21.1064516129032,5.35642514393515,31
2008,"WS06",38,17.84,6.9961944542805,20
2008,"WS06",39,19.2714285714286,9.66442666986215,21
2008,"WS06",41,16.4756756756757,9.3916749602272,37
2008,"WS06",43,22.9952380952381,9.65440190744492,21
2008,"WS06",45,13.7083333333333,7.37460410559683,36
2008,"WS06",54,16.6483870967742,5.68271478360721,31
2008,"WS06",56,20.9352941176471,10.1128594606367,17
2008,"WS06",58,20.5,9.80420078033781,18
2008,"WS06",60,19.9153846153846,7.9806111198425,26
2008,"WS06",65,19.9947368421053,5.78604390698578,19
2008,"WS06",66,16.96,12.7401606076098,40
2008,"WS06",67,13.1488888888889,6.68790027594686,45
2008,"WS06",68,14.5965517241379,7.83766012634878,29
2008,"WS06",69,12.7705882352941,6.79516447553364,34
2008,"WS07",1,14.0565217391304,6.66464504727282,69
2008,"WS07",3,15.69375,8.39193809557721,16
2008,"WS07",14,17.03,8.55336806545573,20
2008,"WS07",18,22.30625,6.91177437421101,16
2008,"WS07",19,19.0588235294118,5.82527454541087,17
2008,"WS07",20,21.3888888888889,6.62541403318397,9
2008,"WS07",22,19.8058823529412,6.84940422484278,17
2008,"WS07",24,14.3651162790698,5.30659444738473,43
2008,"WS07",26,14.6076923076923,6.95017548492519,39
2008,"WS07",39,16.2590909090909,6.46615062429757,22
2008,"WS07",41,20.68,5.05344766801174,10
2008,"WS07",43,14.5526315789474,6.87090228759033,19
2008,"WS07",45,21,4.69112637504754,16
2008,"WS07",47,14.3678571428571,7.44998402043668,28
2008,"WS07",49,10.6611111111111,5.32840765187642,18
2008,"WS07",59,12.2227272727273,5.35732092056164,22
2008,"WS07",61,16.5076923076923,5.52365542288521,13
2008,"WS07",63,14.6962962962963,8.72888579908383,27
2008,"WS07",65,19.1666666666667,15.5335310935825,18
2008,"WS07",66,14.3325,5.41973542262739,40
2008,"WS07",67,15.5884615384615,6.11276218566219,26
2008,"WS07",68,12.595652173913,5.49358950884571,23
2008,"WS07",69,14.6846153846154,4.30132656937488,13
2008,"WS07",70,10.6676470588235,5.99215247349374,34
2008,"WS08",1,26.6303571428571,20.3651656212077,56
2008,"WS08",2,44.6704545454545,42.5942597920241,44
