"year","block","snow","N","temp","plot_sd","plot_mean","plot_sum","mass_sd","mass_mean","mass_sum"
2013,3,"X","X","X",3.46410161513775,36,144,67.6921262654183,120.9375,483.75
2014,1,"X","N","X",1.15470053837925,6,24,134.055803057284,363,1452
2014,1,"X","X","X",1.15470053837925,5,20,226.055614009031,427.1875,1708.75
2014,2,"X","N","X",1.73205080756888,18.5,74,95.3279427380381,302.5,1210
2014,2,"X","X","X",1.15470053837925,23,92,89.8829099439932,196.625,786.5
2014,3,"X","N","X",1.15470053837925,36,144,168.702153710813,466.5,1866
2014,3,"X","X","X",3.46410161513775,36,144,158.891865745229,221.75,887
2015,1,"X","N","X",1.15470053837925,6,24,35.357916958818,267.9375,1071.75
2015,1,"X","X","X",1.15470053837925,5,20,191.159442067785,299.6875,1198.75
2015,2,"X","N","X",1.73205080756888,18.5,74,49.1884132697935,265.75,1063
2015,2,"X","X","X",1.15470053837925,23,92,105.84981006911,236.5625,946.25
2015,3,"X","N","X",1.15470053837925,36,144,264.606340863177,344.9375,1379.75
2015,3,"X","X","X",3.46410161513775,36,144,84.4892744672364,162.375,649.5
2016,1,"X","N","X",1.15470053837925,6,24,168.256299411543,396.4375,1585.75
2016,1,"X","X","X",1.15470053837925,5,20,328.775157465808,578.875,2315.5
2016,2,"X","N","X",1.73205080756888,18.5,74,95.5075258814718,311.875,1247.5
2016,2,"X","X","X",1.15470053837925,23,92,125.325409767267,299.75,1199
2016,3,"X","N","X",1.15470053837925,36,144,275.15734135218,426.125,1704.5
2016,3,"X","X","X",3.46410161513775,36,144,187.506263784262,243.4375,973.75
2017,1,"X","N","X",1.15470053837925,6,24,119.402069356719,438.625,1754.5
2017,1,"X","X","X",1.15470053837925,5,20,68.9687429202534,336.375,1345.5
2017,2,"X","N","X",1.73205080756888,18.5,74,92.2512420873923,265.75,1063
2017,2,"X","X","X",1.15470053837925,23,92,170.4473739653,345.5625,1382.25
2017,3,"X","N","X",1.15470053837925,36,144,189.653302106765,438.25,1753
2017,3,"X","X","X",3.46410161513775,36,144,161.392766256732,259,1036
2019,1,"X","N","X",1.15470053837925,6,24,127.150992917869,275.75,1103
2019,1,"X","X","X",1.15470053837925,5,20,129.183170988588,307.5,1230
2019,2,"X","N","X",1.73205080756888,18.5,74,89.6222105563124,398.8125,1595.25
2019,2,"X","X","X",1.15470053837925,23,92,53.054610230089,287.25,1149
2019,3,"X","N","X",1.15470053837925,36,144,478.992105884847,496.375,1985.5
2019,3,"X","X","X",3.46410161513775,36,144,118.766117327292,260.9375,1043.75
