"Year","Creek","Treatment","Replicate","shoot_mass"
2019,"SW","Enriched","L 2",6.77376
2019,"SW","Enriched","L 3",7.6298
2019,"SW","Enriched","R 1",8.2386
2019,"SW","Enriched","R 2",5.93952
2019,"SW","Enriched","R 3",7.19704
2019,"WE","Control","L 1",5.788
2019,"WE","Control","L 2",5.7778
2019,"WE","Control","L 3",4.54552
2019,"WE","Control","R 1",5.43136
2019,"WE","Control","R 2",5.64744
2019,"WE","Control","R 3",5.1568
2020,"CL","Control","R 1",5.47776
2020,"CL","Control","R 2",5.31432
2020,"CL","Control","R 3",6.0104
2020,"NE","Enriched","L 1",6.17072
2020,"NE","Enriched","L 2",5.88976
2020,"NE","Enriched","L 3",4.5516
2020,"SW","Enriched","L 1",6.51136
2020,"SW","Enriched","L 2",5.71712
2020,"SW","Enriched","L 3",5.37796
2020,"SW","Enriched","R 1",7.04332
2020,"SW","Enriched","R 2",3.8956
2020,"SW","Enriched","R 3",4.79424
2020,"WE","Control","R 1",4.42384
2020,"WE","Control","R 2",6.47532
2020,"WE","Control","R 3",5.09944
