Year,BLOCK_ID,TREATMENT,Total_abundance_per_kg
2016,3,N,1890.5
2016,3,P,7424.9
2016,3,U,2907.4
2016,3,W,1752.3
2016,4,C,4832.2
2016,4,CN,3376.4
2016,4,CP,321.5
2016,4,N,3635.6
2016,4,P,5408.9
2016,4,U,6293.2
2016,4,W,2900.6
2016,5,C,0
2016,5,CN,92.1
2016,5,CP,10.2
2016,5,N,846.5
2016,5,P,2676.6
2016,5,U,40.7
2016,5,W,30.3
2016,6,C,3367.3
2016,6,CN,12238
2016,6,CP,1272.2
2016,6,N,0
2016,6,P,893.7
2016,6,U,10.2
2016,6,W,2017.6
2016,7,C,1019.6
2016,7,CN,0
2016,7,CP,60.8
2016,7,N,185
2016,7,P,558
2016,7,U,130.3
2016,7,W,50.5
2016,8,C,333
2016,8,CN,527.3
2016,8,CP,598.8
2016,8,N,9.9
2016,8,P,612.8
2016,8,U,455.4
2016,8,W,0
