"source","Treatment","site_abbr","early_lrr","full_lrr","lrr_change","n_early","n_total","n_years"
"KBS_Biomass_1990-2022_processed.csv","T3","KBS",0.124016035617287,0.30330069985901,0.179284664241723,3,33,33
"KBS_Biomass_1990-2022_processed.csv","T6","KBS",-0.803359444585318,-0.553871853823855,0.249487590761463,3,31,31
"KNZ_Biomass_1986-2021_processed.csv","b m c","KNZ",-0.693249273946937,0.0542044189137191,0.747453692860656,3,34,34
"KNZ_Biomass_1986-2021_processed.csv","b m n","KNZ",-0.00113889582500187,0.635270925725344,0.636409821550346,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","b m n+p","KNZ",-0.186903840776117,0.635112083256381,0.822015924032497,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","b m p","KNZ",-0.629980439601364,-0.0111952107920199,0.618785228809344,3,34,34
"KNZ_Biomass_1986-2021_processed.csv","b u c","KNZ",0.166412782849219,0.141615118652178,-0.0247976641970417,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","b u n","KNZ",0.6329086862745,0.986916985289476,0.354008299014976,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","b u n+p","KNZ",0.44432260928665,0.975400297489195,0.531077688202544,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","b u p","KNZ",0.0433931010422515,0.160768337802476,0.117375236760225,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u m c","KNZ",-0.767428750774383,-0.243518147685201,0.523910603089182,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u m n","KNZ",-0.310302921743376,0.134817765384738,0.445120687128114,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u m n+p","KNZ",-0.318445144105536,0.180925246515484,0.499370390621021,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u m p","KNZ",-0.711552500105777,-0.0926786542401103,0.618873845865667,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u u n","KNZ",0.282182192692636,0.297906855001744,0.0157246623091077,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u u n+p","KNZ",0.270345066050091,0.352190091052603,0.0818450250025118,3,36,36
"KNZ_Biomass_1986-2021_processed.csv","u u p","KNZ",0.0515956613785593,0.0840246985072433,0.032429037128684,3,36,36
"LUQ_GHG_fluxes_2003-2010.csv","0.234","LUQ",-0.0935897138625503,-0.00398974744086691,0.0895999664216834,3,4,4
"MCM_SoilOC_2007-2016_processed.csv","CN","MCM",0.557148648587965,0.460927418622232,-0.0962212299657328,3,6,6
"MCM_SoilOC_2007-2016_processed.csv","CP","MCM",0.207052814174038,0.122718103889221,-0.0843347102848168,3,6,6
"MCM_SoilOC_2007-2016_processed.csv","N","MCM",-0.00364727996428142,-0.258240939527268,-0.254593659562987,3,6,6
"MCM_SoilOC_2007-2016_processed.csv","P","MCM",0.116327313036105,-0.0227913219249641,-0.139118634961069,3,6,6
"MCM_SoilOC_2007-2016_processed.csv","U","MCM",-0.0593005640394322,-0.287028219398552,-0.22772765535912,3,6,6
"NTL_NutrientAddition1.csv","added","NTL",1.45459148964845,1.32570702913882,-0.12888446050963,3,4,4
"PIE-PlantShoot_2004-2020_Processed.csv","Enriched","PIE",0.0776968066414108,0.114591511625742,0.0368947049843308,3,17,17
"SBC_algal_biomass_2008-2024_processed_corrected.csv","ANNUAL","SBC",-0.358051236944359,-0.341397818316706,0.0166534186276528,3,15,15
"SBC_algal_biomass_2008-2024_processed_corrected.csv","CONTINUAL","SBC",0.0625594210610057,0.100796995207963,0.0382375741469575,3,13,13
"SEV_Aboveground_Biomass_2004-2023_gm2_processed_compactv.csv","F","SEV",0.247204506808203,0.246804976328545,-0.000399530479658072,3,20,20
"VCR_flora maniupulation and inundation_live_dead_biomass_1994-2014_gm2_processed.csv","Inside Juncus","VCR",-0.875879140925746,0.350246743847617,1.22612588477336,3,16,16
