"Date","Plot","Grazed","total_mass"
"19-07-2005",121,"g",206.58
"19-07-2005",122,"g",314.96
"19-07-2005",123,"g",446.8
"19-07-2005",124,"g",494.4
"19-07-2005",125,"g",251.6
"19-07-2005",126,"g",380
"19-07-2005",127,"g",488.26
"19-07-2005",128,"g",160.7
"19-07-2005",129,"g",515.5
"19-07-2005",130,"g",288.1
"19-07-2005",131,"g",306.8
"19-07-2005",132,"g",262.1
"19-07-2005",133,"g",424.16
"19-07-2005",134,"g",300.1
"19-07-2005",135,"g",183.8
"19-07-2005",136,"g",301.3
"19-07-2005",137,"g",520.7
"19-07-2005",138,"g",372.6
"19-07-2005",139,"g",261.5
"19-07-2005",140,"g",167.4
"19-07-2005",141,"g",134.9
"19-07-2005",142,"g",237.28
"19-07-2005",143,"g",257.4
"19-07-2005",144,"g",275
"19-07-2005",145,"g",225
"19-07-2005",146,"g",210.8
"19-07-2005",147,"g",259.8
"19-08-1996",1,"pre",824.1
"19-08-1996",2,"pre",766.6
"19-08-1996",3,"pre",156
"19-08-1996",4,"pre",526.4
"19-08-1996",5,"pre",768.2
"19-08-1996",6,"pre",305.7
"19-08-1996",7,"pre",351.3
"19-08-1996",8,"pre",625.7
"19-08-1996",9,"pre",80.1
"19-08-1996",10,"pre",22.7
"19-08-1996",11,"pre",251.7
"19-08-1996",12,"pre",146.1
"19-08-1996",13,"pre",234.7
"19-08-1996",14,"pre",1741.5
"19-08-1996",15,"pre",587.8
"19-08-1996",16,"pre",924.2
"19-08-1996",17,"pre",699.6
"19-08-1996",18,"pre",209.8
"19-08-1996",19,"pre",272
"19-08-1996",20,"pre",143.7
"19-08-1996",21,"pre",146.3
"19-08-1996",22,"pre",241.2
"19-08-1996",23,"pre",358.4
"19-08-1996",24,"pre",326.7
"19-08-1996",25,"pre",34.4
"19-08-1996",26,"pre",702.9
"19-08-1996",27,"pre",938
"19-08-1996",28,"pre",718.8
"19-08-1996",29,"pre",503.4
"19-08-1996",30,"pre",432.6
"19-08-1996",31,"pre",240.1
"19-08-1996",32,"pre",1373.8
"19-08-1996",33,"pre",901.4
"19-08-1996",34,"pre",827.9
"19-08-1996",35,"pre",413.2
"19-08-1996",36,"pre",61
"19-08-1996",37,"pre",298.7
"19-08-1996",38,"pre",122.8
"19-08-1996",39,"pre",273.9
"19-08-1996",40,"pre",367.2
"19-08-1996",41,"pre",432.3
"19-08-1996",42,"pre",340.5
"19-08-1996",43,"pre",27.2
"19-08-1996",44,"pre",384.9
"19-08-1996",45,"pre",933.5
"19-08-1996",46,"pre",617.7
"19-08-1996",47,"pre",711.2
"19-08-1996",48,"pre",1190.2
"19-08-1996",49,"pre",442.9
"19-08-1996",50,"pre",285.8
"19-08-1996",51,"pre",282.9
"19-08-1996",52,"pre",177.2
"19-08-1996",53,"pre",408
"19-08-1996",54,"pre",365.2
"19-08-1996",55,"pre",1228.4
"19-08-1996",56,"pre",243.7
"19-08-1996",57,"pre",709.1
"19-08-1996",58,"pre",473
"19-08-1996",59,"pre",134.5
"19-08-1996",60,"pre",765.9
"19-08-1996",61,"pre",578.3
"19-08-1996",62,"pre",579.8
"19-08-1996",63,"pre",364.5
"19-08-1996",64,"pre",250.3
"19-08-1996",65,"pre",94
"19-08-1996",66,"pre",103.9
"19-08-1996",67,"pre",623
"19-08-1996",68,"pre",509.1
"19-08-1996",69,"pre",298.5
"19-08-1996",70,"pre",899.2
"19-08-1996",71,"pre",406.3
"19-10-2004",12,"g",94.612
"19-10-2004",30,"g",93.168
"19-10-2004",31,"g",206.034
"19-10-2004",36,"g",24.562
"19-10-2004",41,"g",146.3
"19-10-2004",62,"g",43.868
"19-10-2004",68,"g",70.4
"19-10-2004",91,"g",110.692
"19-10-2004",128,"g",18.138
"19-10-2004",133,"g",70
"20-07-1998",1,"pre",1172.1
"20-07-1998",2,"pre",808.8
"20-07-1998",3,"pre",359.95
"20-07-1998",4,"pre",431.1
"20-07-1998",5,"pre",1655.1
"20-07-1998",6,"pre",703.7
"20-07-1998",7,"pre",1040.25
"20-07-1998",8,"pre",418.7
"20-07-1998",9,"pre",501.69
"20-07-1998",10,"pre",981
"20-07-1998",11,"pre",252.852
"20-07-1998",12,"pre",289.166
"20-07-1998",13,"pre",573.056
"20-07-1998",14,"pre",1651.2
"20-07-1998",15,"pre",1013.6
"20-07-1998",16,"pre",560.85
"20-07-1998",17,"pre",1176.05
"20-07-1998",18,"pre",1029.9
"20-07-1998",19,"pre",868.85
"20-07-1998",20,"pre",510.244
"20-07-1998",21,"pre",159.2
"20-07-1998",22,"pre",172.65
"20-07-1998",23,"pre",256.3
