,Year,Creek,Treatment,Replicate,shoot_mass
179,2013,NE,Enriched,L 2,7.63912303
180,2013,NE,Enriched,L 3,5.328791667
181,2013,SW,Enriched,L 1,4.887368182
182,2013,SW,Enriched,L 2,6.609478623
183,2013,SW,Enriched,L 3,4.625714286
184,2013,SW,Enriched,R 1,4.942653913
185,2013,SW,Enriched,R 2,5.341771111
186,2013,SW,Enriched,R 3,4.701724762
187,2013,WE,Control,L 1,6.376513333
188,2013,WE,Control,L 2,5.729654545
189,2013,WE,Control,L 3,4.564041739
190,2013,WE,Control,R 1,5.328735404
191,2013,WE,Control,R 2,5.827479825
192,2013,WE,Control,R 3,6.413102857
193,2014,CL,Control,R 1,7.15764
194,2014,CL,Control,R 2,6.09672
195,2014,CL,Control,R 3,6.74528
196,2014,NE,Enriched,L 1,8.69592
197,2014,NE,Enriched,L 2,6.95228
198,2014,NE,Enriched,L 3,5.04516
199,2014,SW,Enriched,L 1,6.87632
200,2014,SW,Enriched,L 2,7.429376667
201,2014,SW,Enriched,L 3,5.96296
202,2014,SW,Enriched,R 1,6.251025
203,2014,SW,Enriched,R 2,6.82648
204,2014,SW,Enriched,R 3,5.15772
205,2014,WE,Control,L 1,6.21536
206,2014,WE,Control,L 2,6.29238
207,2014,WE,Control,L 3,4.25692
208,2014,WE,Control,R 1,5.12535
209,2014,WE,Control,R 2,6.57228
210,2014,WE,Control,R 3,5.82996
211,2015,CL,Control,R 1,6.78828
212,2015,CL,Control,R 2,4.87868
213,2015,CL,Control,R 3,7.89148
214,2015,NE,Enriched,L 1,6.75352
215,2015,NE,Enriched,L 2,4.98824
216,2015,NE,Enriched,L 3,5.14056
217,2015,SW,Enriched,L 1,6.7744
218,2015,SW,Enriched,L 2,5.9094
219,2015,SW,Enriched,L 3,6.6408
220,2015,SW,Enriched,R 1,8.93476
221,2015,SW,Enriched,R 2,5.18512
222,2015,SW,Enriched,R 3,7.11284
223,2015,WE,Control,L 1,6.11976
224,2015,WE,Control,L 2,7.0798
225,2015,WE,Control,L 3,7.55832
226,2015,WE,Control,R 1,5.16748
227,2015,WE,Control,R 2,6.05284
228,2015,WE,Control,R 3,6.54568
229,2016,CL,Control,R 1,7.4062
230,2016,CL,Control,R 2,6.59808
231,2016,CL,Control,R 3,7.989855
232,2016,NE,Enriched,L 1,5.325344348
233,2016,NE,Enriched,L 2,4.4662
234,2016,NE,Enriched,L 3,4.27752
235,2016,SW,Enriched,L 1,11.30765895
236,2016,SW,Enriched,L 2,5.392586667
237,2016,SW,Enriched,L 3,8.56124
238,2016,SW,Enriched,R 1,8.06536
239,2016,SW,Enriched,R 2,5.02428
240,2016,SW,Enriched,R 3,6.01416
241,2016,WE,Control,L 1,5.085035
242,2016,WE,Control,L 2,4.12136
243,2016,WE,Control,L 3,5.667163333
244,2016,WE,Control,R 1,4.37552
245,2016,WE,Control,R 2,6.01988
246,2016,WE,Control,R 3,5.62288
247,2016,WE ,Control,L 1,0.076208333
248,2016,WE ,Control,L 2,0.07276
249,2016,WE ,Control,L 3,0.09212
250,2016,WE ,Control,R 1,0.0594
251,2016,WE ,Control,R 2,0.03756
252,2016,WE ,Control,R 3,0.10504
253,2017,CL,Control,R 1,7.1604
254,2017,CL,Control,R 2,5.33544
255,2017,CL,Control,R 3,6.66916
256,2017,NE,Enriched,L 1,8.61732
257,2017,NE,Enriched,L 2,4.63076
258,2017,NE,Enriched,L 3,4.41752
259,2017,SW,Enriched,L 1,7.79636
260,2017,SW,Enriched,L 2,7.00716
261,2017,SW,Enriched,L 3,7.01848
262,2017,SW,Enriched,R 1,8.1216
263,2017,SW,Enriched,R 2,6.47624
264,2017,SW,Enriched,R 3,8.5922
265,2017,WE,Control,L 1,5.60164
266,2017,WE,Control,L 2,7.05848
267,2017,WE,Control,L 3,6.7824
268,2017,WE,Control,R 1,5.0426
269,2017,WE,Control,R 2,4.64308
270,2017,WE,Control,R 3,5.03964
271,2018,CL,Control,R 1,5.33132
272,2018,CL,Control,R 2,5.18672
273,2018,CL,Control,R 3,5.85232
274,2018,NE,Enriched,L 1,3.64832
275,2018,NE,Enriched,L 2,3.39884
276,2018,NE,Enriched,L 3,4.5082
277,2018,SW,Enriched,L 1,4.67808
278,2018,SW,Enriched,L 2,5.4002
279,2018,SW,Enriched,L 3,4.91616
280,2018,SW,Enriched,R 1,9.494455758
281,2018,SW,Enriched,R 2,4.58096
282,2018,SW,Enriched,R 3,4.69556
283,2018,WE,Control,L 1,6.29116
284,2018,WE,Control,L 2,6.42176
285,2018,WE,Control,L 3,7.20464
286,2018,WE,Control,R 1,2.75936
287,2018,WE,Control,R 2,4.22804
288,2018,WE,Control,R 3,4.65016
289,2019,CL,Control,R 1,5.897
290,2019,CL,Control,R 2,5.85212
291,2019,CL,Control,R 3,6.30644
292,2019,NE,Enriched,L 1,5.94048
293,2019,NE,Enriched,L 2,5.26132
294,2019,NE,Enriched,L 3,5.00484
295,2019,SW,Enriched,L 1,5.95824
296,2019,SW,Enriched,L 2,6.77376
297,2019,SW,Enriched,L 3,7.6298
298,2019,SW,Enriched,R 1,8.2386
299,2019,SW,Enriched,R 2,5.93952
300,2019,SW,Enriched,R 3,7.19704
301,2019,WE,Control,L 1,5.788
302,2019,WE,Control,L 2,5.7778
303,2019,WE,Control,L 3,4.54552
304,2019,WE,Control,R 1,5.43136
305,2019,WE,Control,R 2,5.64744
306,2019,WE,Control,R 3,5.1568
307,2020,CL,Control,R 1,5.47776
308,2020,CL,Control,R 2,5.31432
309,2020,CL,Control,R 3,6.0104
310,2020,NE,Enriched,L 1,6.17072
311,2020,NE,Enriched,L 2,5.88976
312,2020,NE,Enriched,L 3,4.5516
313,2020,SW,Enriched,L 1,6.51136
314,2020,SW,Enriched,L 2,5.71712
315,2020,SW,Enriched,L 3,5.37796
316,2020,SW,Enriched,R 1,7.04332
317,2020,SW,Enriched,R 2,3.8956
318,2020,SW,Enriched,R 3,4.79424
319,2020,WE,Control,R 1,4.42384
320,2020,WE,Control,R 2,6.47532
321,2020,WE,Control,R 3,5.09944
