Year,Season,Site,Stand,Treatment,Mass_gm2
2018,Fall,BEF,C6,N,295.886
2018,Fall,BEF,C6,NP,251.782
2018,Fall,BEF,C6,P,292.774
2018,Fall,BEF,C7,C,261.226
2018,Fall,BEF,C7,N,329.46
2018,Fall,BEF,C7,NP,279.362
2018,Fall,BEF,C7,P,254.124
2018,Fall,BEF,C8,C,262.782
2018,Fall,BEF,C8,N,258.016
2018,Fall,BEF,C8,NP,187.312
2018,Fall,BEF,C8,P,253.19
2018,Fall,BEF,C9,C,336.8
2018,Fall,BEF,C9,N,292.166
2018,Fall,BEF,C9,NP,358.834
2018,Fall,BEF,C9,P,307.408
2018,Fall,HB,HBM,C,324.424
2018,Fall,HB,HBM,N,371.912
2018,Fall,HB,HBM,NP,355.28
2018,Fall,HB,HBM,P,319.994
2018,Fall,HB,HBO,C,322.3171429
2018,Fall,HB,HBO,N,309.392
2018,Fall,HB,HBO,NP,277.418
2018,Fall,HB,HBO,P,261.564
2018,Fall,JB,JBM,C,212.124
2018,Fall,JB,JBM,N,207.088
2018,Fall,JB,JBM,NP,181.408
2018,Fall,JB,JBM,P,198.442
2018,Fall,JB,JBO,C,217.592
2018,Fall,JB,JBO,N,209.66
2018,Fall,JB,JBO,NP,248.224
2018,Fall,JB,JBO,P,236.444
2019,Fall,BEF,C1,C,302.9866667
2019,Fall,BEF,C1,N,323.1975
2019,Fall,BEF,C1,NP,279.52
2019,Fall,BEF,C1,P,318.75
2019,Fall,BEF,C2,C,276.53
2019,Fall,BEF,C2,N,237.432
2019,Fall,BEF,C2,NP,241.645
2019,Fall,BEF,C2,P,252.48
2019,Fall,BEF,C3,C,248.2625
2019,Fall,BEF,C3,N,261.9075
2019,Fall,BEF,C3,NP,310.2066667
2019,Fall,BEF,C3,P,198.1625
2019,Fall,BEF,C4,C,317.6475
2019,Fall,BEF,C4,N,306.388
2019,Fall,BEF,C4,NP,370.4433333
2019,Fall,BEF,C4,P,307.9575
2019,Fall,BEF,C5,C,274.572
2019,Fall,BEF,C5,N,329.22
2019,Fall,BEF,C5,NP,192.8266667
2019,Fall,BEF,C5,P,254.062
2019,Fall,BEF,C6,C,327.8225
2019,Fall,BEF,C6,Ca,318.23
2019,Fall,BEF,C6,N,354.0333333
2019,Fall,BEF,C6,NP,373.965
2019,Fall,BEF,C6,P,330.61
2019,Fall,BEF,C7,C,278.94
2019,Fall,BEF,C7,N,398.482
2019,Fall,BEF,C7,NP,374.04
2019,Fall,BEF,C7,P,305.7275
2019,Fall,BEF,C8,C,336.252
2019,Fall,BEF,C8,Ca,254.748
2019,Fall,BEF,C8,N,310.676
2019,Fall,BEF,C8,NP,255.61
2019,Fall,BEF,C8,P,278.434
2019,Fall,BEF,C9,C,326.7966667
2019,Fall,BEF,C9,NP,330.722
2019,Fall,BEF,C9,P,316.6625
2019,Fall,HB,HBM,C,295.88
2019,Fall,HB,HBM,N,337.476
2019,Fall,HB,HBM,NP,361.4
2019,Fall,HB,HBM,P,313.0025
2019,Fall,HB,HBO,C,329.7385714
2019,Fall,HB,HBO,N,333
2019,Fall,HB,HBO,NP,320.3475
2019,Fall,HB,HBO,P,364.12
2019,Fall,JB,JBM,C,240.25
2019,Fall,JB,JBM,N,243.892
2019,Fall,JB,JBM,NP,239.9025
2019,Fall,JB,JBM,P,244.4225
2019,Fall,JB,JBO,C,246.36
2019,Fall,JB,JBO,N,284.4033333
2019,Fall,JB,JBO,NP,285.145
2019,Fall,JB,JBO,P,273.684
2020,Fall,BEF,C1,C,264.495
2020,Fall,BEF,C1,N,292.8775
2020,Fall,BEF,C1,NP,278.73
2020,Fall,BEF,C1,P,296.78
2020,Fall,BEF,C2,C,268.438
2020,Fall,BEF,C2,N,271.804
2020,Fall,BEF,C2,NP,277.012
2020,Fall,BEF,C2,P,270.206
2020,Fall,BEF,C3,C,289.45
2020,Fall,BEF,C3,N,288.265
2020,Fall,BEF,C3,NP,294.325
2020,Fall,BEF,C3,P,254.196
2020,Fall,BEF,C4,C,291.156
2020,Fall,BEF,C4,N,286.49
2020,Fall,BEF,C4,NP,330.02
2020,Fall,BEF,C4,P,203.662
2020,Fall,BEF,C5,C,276.144
2020,Fall,BEF,C5,N,486.146
2020,Fall,BEF,C5,NP,252.768
2020,Fall,BEF,C5,P,300.878
2020,Fall,BEF,C6,C,310.396
2020,Fall,BEF,C6,Ca,308.686
2020,Fall,BEF,C6,N,331.264
2020,Fall,BEF,C6,NP,226.262
2020,Fall,BEF,C6,P,273.226
2020,Fall,BEF,C7,C,271.926
2020,Fall,BEF,C7,N,276.914
2020,Fall,BEF,C7,NP,296.836
2020,Fall,BEF,C7,P,280.834
2020,Fall,BEF,C8,C,254.7433333
2020,Fall,BEF,C8,Ca,263.838
2020,Fall,BEF,C8,N,298.79
2020,Fall,BEF,C8,NP,267.625
2020,Fall,BEF,C8,P,284.83
2020,Fall,BEF,C9,C,320.946
2020,Fall,BEF,C9,N,328.348
2020,Fall,BEF,C9,NP,292.466
2020,Fall,BEF,C9,P,280.628
2020,Fall,HB,HBM,C,277.878
2020,Fall,HB,HBM,N,265.71
2020,Fall,HB,HBM,NP,288.464
2020,Fall,HB,HBM,P,257.186
2020,Fall,HB,HBO,C,266.5871429
2020,Fall,HB,HBO,N,252.328
2020,Fall,HB,HBO,NP,253.916
2020,Fall,HB,HBO,P,216.266
2020,Fall,JB,JBM,C,255.428
2020,Fall,JB,JBM,N,209.83
2020,Fall,JB,JBM,NP,221.672
2020,Fall,JB,JBM,P,234.28
2020,Fall,JB,JBO,C,238.254
2020,Fall,JB,JBO,N,302.642
2020,Fall,JB,JBO,NP,272.664
2020,Fall,JB,JBO,P,292.236
2021,Fall,BEF,C1,C,247.27
2021,Fall,BEF,C1,N,256.524
2021,Fall,BEF,C1,NP,265.908
2021,Fall,BEF,C1,P,252.7
2021,Fall,BEF,C2,C,267.04
2021,Fall,BEF,C2,N,220.474
2021,Fall,BEF,C2,NP,193.956
2021,Fall,BEF,C2,P,251.036
2021,Fall,BEF,C3,C,182.4666667
2021,Fall,BEF,C3,N,224.6625
2021,Fall,BEF,C3,NP,306.13
2021,Fall,BEF,C3,P,196.395
2021,Fall,BEF,C4,C,253.282
2021,Fall,BEF,C4,N,264.876
2021,Fall,BEF,C4,NP,288.344
2021,Fall,BEF,C4,P,196.3075
2021,Fall,BEF,C5,C,249.984
2021,Fall,BEF,C5,N,288.008
2021,Fall,BEF,C5,NP,261.498
2021,Fall,BEF,C5,P,210.305
2021,Fall,BEF,C6,C,260.768
2021,Fall,BEF,C6,Ca,276.01
2021,Fall,BEF,C6,N,279.722
2021,Fall,BEF,C6,NP,263.19
2021,Fall,BEF,C6,P,267.838
2021,Fall,BEF,C7,C,248.046
2021,Fall,BEF,C7,N,263.588
2021,Fall,BEF,C7,NP,256.31
2021,Fall,BEF,C7,P,199.36
2021,Fall,BEF,C8,C,225.926
2021,Fall,BEF,C8,Ca,203.582
2021,Fall,BEF,C8,N,263.268
2021,Fall,BEF,C8,NP,207.508
2021,Fall,BEF,C8,P,234.136
2021,Fall,BEF,C9,C,279.964
