"Field name ( Ignore this for this experiment)"	"Experiment number"	"Plot number"	"Sub plot number"	"Treatment number"	"Species and percent seed of total planted"	"Soil totaln N (mg/kg)(1989 samples)"	"Year"	"Species Name"	"Maximum species height (cm)"	"Median species height (cm)"	"Species Above ground biomass(g/m2)"	"Species proportion of total biomass"	"Date"	"Biomass"	"Prop"
E	55	1	10	17	SS70BG30	791.6	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	11	5	AG100	926.1	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	11	5	AG100	926.1	1989	MISCELLANEOUS LITTER	 	 	4.62	 	 	 	 
E	55	1	11	5	AG100	926.1	1989	ANDROPOGON GERARDI(AG)	 	 	30.58	1	 	 	 
E	55	1	11	5	AG100	926.1	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	11	5	AG100	926.1	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	11	5	AG100	926.1	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	11	5	AG100	926.1	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	11	5	AG100	926.1	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	11	5	AG100	926.1	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	MISCELLANEOUS LITTER	 	 	2.12	 	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	PANICUM VIRGATUM (PV)	 	 	37.52	0.883239	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	BUCHLOE DACTYLOIDES (BD)	 	 	4.96	0.116761	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	12	23	BD30PV70	905.4	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	MISCELLANEOUS LITTER	 	 	1.26	 	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	9.4	0.360983	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	AGROPYRON SMITHII (AS)	 	 	4.5	0.172811	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	PANICUM VIRGATUM (PV)	 	 	6.98	0.268049	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	BOUTELOUA GRACILIS (BG)	 	 	5.16	0.198157	 	 	 
E	55	1	13	20	PV25SS25AS25BG25	1078.4	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	MISCELLANEOUS LITTER	 	 	10.62	 	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	34.139999	0.550823	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	AGROPYRON SMITHII (AS)	 	 	27.839998	0.449177	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	14	15	SS70AS30	894.9	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	MISCELLANEOUS LITTER	 	 	4.5	 	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	PANICUM VIRGATUM (PV)	 	 	42.239998	0.600341	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	BUCHLOE DACTYLOIDES (BD)	 	 	28.120001	0.399659	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	15	24	BD70PV30	842.5001	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	MISCELLANEOUS LITTER	 	 	3.2	 	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	AGROPYRON SMITHII (AS)	 	 	27.139999	0.688483	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	PANICUM VIRGATUM (PV)	 	 	12.280001	0.311517	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	16	10	PV30AS70	1371.1	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	MISCELLANEOUS LITTER	 	 	6.98	 	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	AGROPYRON SMITHII (AS)	 	 	22.119999	0.303346	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	PANICUM VIRGATUM (PV)	 	 	50.799999	0.696654	 	 	 
