
# McMurdo Dry Valleys LTER - www.mcmlter.org
# 
#########################################################################################
# MCM LTER data may be used freely with the following restrictions:
# -The Principal Investigator be sent a notice stating reasons for 
# 	acquiring any data and a description of the publication intentions.
# -The Principal Investigator of the data set be sent a copy of any
# 	report or manuscript prior to submission and be adequately cited
# 	in any resultant publications.
# -A copy of any resultant publications should be sent to the MCM LTER data
# 	manager and PI.
# -The end-user follow the guidelines set forth in the LTER Network Data Access Policy, 
#	Data Access Requirements, and General Data Use Agreement found at:
# 	http://www.mcmlter.org/data_guidelines.htm
#########################################################################################
# 
# Query Executed: 2014-09-06 09:14:31.0
# 
# METADATA URLs (copy and paste links into your web browser):
# Stoichiometry Experiment- CO2  Metadata: 
# http://metacat.lternet.edu/knb/metacat?action=read&qformat=mcm&docid=knb-lter-mcm.4014&insertTemplate=0
# Units and Column Descriptions:
# http://metacat.lternet.edu/knb/metacat?action=read&qformat=mcm&docid=knb-lter-mcm.4014&insertTemplate=0&displaymodule=entity&entitytype=dataTable&entityindex=1
# 
# NOTICE: SOME DATA ARE NOT MADE PUBLIC UNTIL 2 YEARS AFTER THEY HAVE BEEN COLLECTED. THE RESULTS BELOW REPRESENT THE NEWEST AVAILABLE.

DATASET_CODE,BASIN,SAMPLE_ID,BLOCK_ID,TREATMENT,PRE_DATE_TIME,PRE_CO2,PRE_TEMP,PRE_MOISTURE,POST_DATE_TIME,POST_CO2,POST_TEMP,POST_MOISTURE,COMMENTS,DATE_TIME
SOILS_SE_CO2,Fryxell,CP3,3,CP,2007-12-24 00:00:00,,,,2008-01-15 14:23:00,.23,3.69,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP4,4,CP,2007-12-24 00:00:00,,,,2008-01-15 14:52:00,.44,7.25,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP5,5,CP,2007-12-24 00:00:00,.13,,,2008-01-15 11:50:00,.48,2.39,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP6,6,CP,2007-12-24 00:00:00,.19,,,2008-01-15 12:38:00,.07,1.6,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP7,7,CP,2007-12-24 00:00:00,,,,2008-01-15 13:58:00,.41,8.42,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP8,8,CP,2007-12-24 00:00:00,,,,2008-01-15 15:29:00,.23,5.57,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N1,1,N,2007-12-24 00:00:00,.21,,,2008-01-15 11:13:00,.16,2.32,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N2,2,N,2007-12-24 00:00:00,.1,,,2008-01-15 11:22:00,.1,3.12,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N3,3,N,2007-12-24 00:00:00,,,,2008-01-15 14:33:00,.17,4.68,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N4,4,N,2007-12-24 00:00:00,,,,2008-01-15 14:37:00,.15,5.8,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N5,5,N,2007-12-24 00:00:00,.18,,,2008-01-15 11:45:00,.19,1.05,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N6,6,N,2007-12-24 00:00:00,.22,,,2008-01-15 12:27:00,.23,1.21,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N7,7,N,2007-12-24 00:00:00,,,,2008-01-15 13:55:00,.36,3.71,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,N8,8,N,2007-12-24 00:00:00,,,,2008-01-15 15:38:00,.19,6.76,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P1,1,P,2007-12-24 00:00:00,.15,,,2008-01-15 11:10:00,.26,2.72,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P2,2,P,2007-12-24 00:00:00,.16,,,2008-01-15 11:28:00,.14,3.85,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C1,1,C,2007-12-24 00:00:00,.17,,,2008-01-15 11:02:00,.34,2.31,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C2,2,C,2007-12-24 00:00:00,.25,,,2008-01-15 11:31:00,.13,2.69,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C3,3,C,2007-12-24 00:00:00,,,,2008-01-15 14:28:00,.47,5.69,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C4,4,C,2007-12-24 00:00:00,,,,2008-01-15 14:54:00,.37,6.59,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C5,5,C,2007-12-24 00:00:00,.08,,,2008-01-15 12:04:00,.35,1.47,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C6,6,C,2007-12-24 00:00:00,.11,,,2008-01-15 12:13:00,.13,2.44,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C7,7,C,2007-12-24 00:00:00,,,,2008-01-15 14:07:00,.3,6.41,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P3,3,P,2007-12-24 00:00:00,,,,2008-01-15 14:25:00,.24,3.25,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P4,4,P,2007-12-24 00:00:00,,,,2008-01-15 14:45:00,.18,4.74,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P5,5,P,2007-12-24 00:00:00,.16,,,2008-01-15 11:48:00,.18,1.97,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P6,6,P,2007-12-24 00:00:00,.21,,,2008-01-15 12:20:00,.37,2.81,,,2008-01-15 00:00:00
SOILS_SE_CO2,Bonney,C1,1,C,2008-01-03 13:05:00,.08,5.44,,2008-01-19 12:01:00,.15,9.62,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W8,8,W,,,,,2008-01-19 13:48:00,.09,9.63,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C3,3,C,2008-01-03 14:05:00,.13,6.29,,2008-01-19 12:46:00,.15,7.68,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C4,4,C,,,,,2008-01-19 13:31:00,.25,10.08,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C5,5,C,2008-01-03 11:25:00,.16,4.95,,2008-01-19 10:54:00,.22,8.65,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C6,6,C,2008-01-03 12:11:00,.1,5.2,,2008-01-19 10:59:00,.16,9.04,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C7,7,C,2008-01-03 14:41:00,.16,6.36,,2008-01-19 11:27:00,.16,8.07,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C8,8,C,,,,,2008-01-19 13:46:00,.1,10.91,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN1,1,CN,2008-01-03 13:08:00,.17,5.25,,2008-01-19 11:59:00,.31,6.85,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN2,2,CN,2008-01-03 13:22:00,.1,5.06,,2008-01-19 12:27:00,.18,9.26,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN3,3,CN,2008-01-03 14:24:00,.11,5.52,,2008-01-19 12:33:00,.18,6.48,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN4,4,CN,,,,,2008-01-19 13:26:00,.16,9.89,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN5,5,CN,2008-01-03 11:36:00,.19,4.55,,2008-01-19 10:46:00,.33,8.59,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN6,6,CN,2008-01-03 12:08:00,.07,6.07,,2008-01-19 11:02:00,.3,6.55,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN7,7,CN,2008-01-03 14:49:00,.26,7.53,,2008-01-19 11:22:00,.21,9.51,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CN8,8,CN,,,,,2008-01-19 13:37:00,.14,8.48,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP1,1,CP,2008-01-03 13:01:00,.13,5.16,,2008-01-19 12:04:00,.13,8.1,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP2,2,CP,2008-01-03 13:41:00,.15,5.33,,2008-01-19 12:15:00,.15,7.39,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP3,3,CP,2008-01-03 14:13:00,.12,5.95,,2008-01-19 12:41:00,.2,8.3,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP4,4,CP,,,,,2008-01-19 13:29:00,.22,7.65,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP5,5,CP,2008-01-03 11:40:00,.15,5.91,,2008-01-19 10:43:00,.14,7.67,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP6,6,CP,2008-01-03 11:52:00,.04,7.35,,2008-01-19 11:12:00,.25,6.36,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP7,7,CP,2008-01-03 14:52:00,.21,10.59,,2008-01-19 11:20:00,.33,9.44,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,CP8,8,CP,,,,,2008-01-19 13:43:00,.1,10.22,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N1,1,N,2008-01-03 12:49:00,.14,2.63,,2008-01-19 12:12:00,.2,6.82,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N2,2,N,2008-01-03 13:37:00,.13,6.58,,2008-01-19 12:17:00,.1,7.73,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N3,3,N,2008-01-03 14:01:00,.07,8.56,,2008-01-19 12:48:00,.11,9.02,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N4,4,N,,,,,2008-01-19 13:15:00,.05,6.79,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N5,5,N,2008-01-03 11:48:00,.08,7.91,,2008-01-19 10:38:00,.1,7.94,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N6,6,N,2008-01-03 11:56:00,.05,6.33,,2008-01-19 11:10:00,.13,9.66,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N7,7,N,2008-01-03 14:56:00,.19,8.73,,2008-01-19 11:17:00,.1,6.83,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,N8,8,N,,,,,2008-01-19 13:51:00,.12,7.45,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P1,1,P,2008-01-03 12:53:00,.17,2.55,,2008-01-19 12:09:00,.09,6.86,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P2,2,P,2008-01-03 13:30:00,.03,4.46,,2008-01-19 12:22:00,.12,6.92,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P3,3,P,2008-01-03 14:09:00,.11,5.78,,2008-01-19 12:43:00,.2,8.18,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P4,4,P,,,,,2008-01-19 13:23:00,.16,8.08,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P5,5,P,2008-01-03 11:33:00,.19,2.78,,2008-01-19 10:49:00,.14,5.96,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P6,6,P,2008-01-03 12:04:00,.02,6.29,,2008-01-19 11:04:00,.18,7.59,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P7,7,P,2008-01-03 14:59:00,.15,11.52,,2008-01-19 11:15:00,.16,5.83,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,P8,8,P,,,,,2008-01-19 13:40:00,.14,10.3,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U1,1,U,2008-01-03 13:12:00,.15,5.04,,2008-01-19 11:57:00,.04,5.99,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U2,2,U,2008-01-03 13:33:00,.14,8.69,,2008-01-19 12:19:00,.13,6.75,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U3,3,U,2008-01-03 14:20:00,.11,8.44,,2008-01-19 12:36:00,.11,9.32,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U4,4,U,,,,,2008-01-19 13:18:00,.13,6.31,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U5,5,U,2008-01-03 11:29:00,.1,4.55,,2008-01-19 10:52:00,.15,7.39,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U6,6,U,2008-01-03 12:00:00,.04,4.44,,2008-01-19 11:07:00,.1,6.66,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U7,7,U,2008-01-03 14:37:00,.05,6.44,,2008-01-19 11:30:00,.11,7.11,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,U8,8,U,,,,,2008-01-19 13:35:00,.12,8.16,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W1,1,W,2008-01-03 12:57:00,.17,4.81,,2008-01-19 12:07:00,.17,7.22,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W2,2,W,2008-01-03 13:17:00,.08,5.8,,2008-01-19 12:30:00,.12,7.63,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W3,3,W,2008-01-03 14:16:00,.21,6.48,,2008-01-19 12:38:00,.22,7.88,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W4,4,W,,,,,2008-01-19 13:21:00,.12,6.13,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W5,5,W,2008-01-03 11:44:00,.03,8.28,,2008-01-19 10:41:00,.14,9.36,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W6,6,W,2008-01-03 12:15:00,.12,5.02,,2008-01-19 10:57:00,.17,8.83,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,W7,7,W,2008-01-03 14:45:00,.04,9.06,,2008-01-19 11:25:00,.13,9.69,,,2008-01-19 00:00:00
SOILS_SE_CO2,Bonney,C2,2,C,2008-01-03 13:25:00,.14,5.41,,2008-01-19 12:25:00,.16,7.33,,,2008-01-19 00:00:00
SOILS_SE_CO2,Fryxell,C1,1,C,2008-12-29 11:51:00,.11,15.88,.024,2009-01-18 09:37:00,.15,10.59,.094,,2009-01-18 00:00:00
SOILS_SE_CO2,Fryxell,C3,3,C,2008-12-29 12:11:00,.19,16.34,.029,2009-01-18 09:55:00,.19,7.41,.05,,2009-01-18 00:00:00
SOILS_SE_CO2,Fryxell,W7,7,W,2008-12-29 12:43:00,.17,15.09,.034,2009-01-18 10:23:00,.26,6.28,.027,,2009-01-18 00:00:00
