"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	36	960723	40--60	3261	0.02165	0.21841	10.0868
123	37	960723	0--20	3262	0.03131	0.37561	11.9976
123	37	960723	40--60	3263	0.02331	0.24303	10.4247
123	38	960723	0--20	3264	0.04026	0.43191	10.7278
123	38	960723	40--60	3266	0.0266	0.2744	10.3162
123	39	960723	0--20	3267	0.04497	0.4805	10.6854
123	39	960723	40--60	3268	0.03044	0.31713	10.4174
123	40	960723	0--20	3269	0.04591	0.49673	10.8187
123	40	960723	40--60	3270	0.02203	0.22293	10.1213
123	41	960723	0--20	3271	0.03841	0.42795	11.1421
123	41	960723	40--60	3272	0.02264	0.22576	9.9727
123	42	960723	0--20	3273	0.03783	0.41515	10.9749
123	42	960723	40--60	3274	0.02295	0.23142	10.0847
123	43	960723	0--20	3275	0.04083	0.42873	10.4998
123	43	960723	40--60	3276	0.02305	0.22095	9.5865
123	44	960723	0--20	3277	0.03985	0.46158	11.5829
123	44	960723	40--60	3278	0.02615	0.26765	10.2334
123	45	960723	0--20	3279	0.03352	0.3974	11.8569
123	45	960723	40--60	3280	0.02081	0.20638	9.9183
123	46	960723	0--20	3281	0.04355	0.49387	11.3407
123	46	960723	40--60	3282	0.0198	0.19747	9.9751
123	47	960723	0--20	3283	0.03863	0.41357	10.7049
123	47	960723	40--60	3284	0.02413	0.24302	10.0697
123	48	960723	0--20	3285	0.03425	0.3765	10.9941
123	48	960723	40--60	3286	0.0205	0.20815	10.1548
123	49	960723	0--20	3287	0.03539	0.39279	11.098
123	49	960723	40--60	3288	0.02008	0.20317	10.1185
123	50	960723	0--20	3289	0.0274	0.28309	10.3331
123	50	960723	40--60	3290	0.02119	0.20697	9.7681
123	51	960723	0--20	3291	0.04295	0.47716	11.109
123	51	960723	40--60	3292	0.02505	0.25209	10.0634
123	52	960723	0--20	3293	0.04137	0.4466	10.7966
123	52	960723	40--60	3294	0.01955	0.18581	9.5045
123	53	960723	0--20	3295	0.04184	0.46914	11.2116
123	53	960723	40--60	3296	0.01989	0.18452	9.2754
123	54	960723	0--20	3297	0.0396	0.40878	10.3237
123	54	960723	40--60	3298	0.02475	0.24252	9.7973
123	55	960723	0--20	3299	0.04088	0.47082	11.5172
123	55	960723	40--60	3200	0.02459	0.24131	9.8123
123	56	960723	0--20	3301	0.04156	0.45613	10.9745
123	56	960723	40--60	3302	0.02841	0.30215	10.6368
123	57	960723	0--20	3303	0.03928	0.42295	10.7671
123	57	960723	40--60	3304	0.02441	0.25295	10.3638
123	58	960723	0--20	3305	0.03484	0.38982	11.1898
123	58	960723	40--60	3306	0.03111	0.31132	10.0081
123	59	960723	0--20	3307	0.04408	0.4608	10.4529
123	59	960723	40--60	3308	0.02359	0.22501	9.5401
123	60	960723	0--20	3309	0.04424	0.50837	11.4916
123	60	960723	40--60	3310	0.02451	0.25634	10.4608
123	61	960723	0--20	3311	0.03423	0.36665	10.7119
123	61	960723	40--60	3312	0.0179	0.17298	9.6632
123	62	960723	0--20	3313	0.04059	0.43799	10.7902
123	62	960723	40--60	3314	0.01452	0.14398	9.9183
123	63	960723	0--20	3315	0.02712	0.28033	10.3381
123	63	960723	40--60	3316	0.02325	0.23842	10.2564
123	64	960723	0--20	3317	0.03117	0.34056	10.9263
123	64	960723	40--60	3318	0.02349	0.23568	10.0332
123	65	960723	0--20	3319	0.03461	0.3722	10.7538
123	65	960723	40--60	3320	0.02488	0.25055	10.0714
123	66	960723	0--20	3321	0.03339	0.35043	10.4959
123	66	960723	40--60	3322	0.01899	0.18663	9.8303
123	67	960723	0--20	3323	0.03552	0.36924	10.3952
123	67	960723	40--60	3324	0.0305	0.31866	10.4483
123	68	960723	0--20	3325	0.03667	0.39446	10.7562
123	68	960723	40--60	3326	0.0202	0.1958	9.693
123	69	960723	0--20	3327	0.04429	0.47831	10.7995
123	69	960723	40--60	3328	0.02408	0.22882	9.5018
123	70	960723	0--20	3329	0.04158	0.45042	10.8315
123	70	960723	40--60	3330	0.025	0.24783	9.9123
123	71	960723	0--20	3331	0.03773	0.40084	10.6239
123	71	960723	40--60	3332	0.03088	0.31665	10.2546
123	72	960723	0--20	3333	0.03781	0.41735	11.0369
123	72	960723	40--60	3334	0.0181	0.15975	8.8259
123	73	960723	0--20	3335	0.04392	0.45762	10.4203
123	73	960723	40--60	3336	0.02217	0.20407	9.2065
123	74	960723	0--20	3337	0.04209	0.44013	10.4574
123	74	960723	40--60	3338	0.03272	0.34059	10.4105
123	75	960723	0--20	3339	0.0456	0.4875	10.692
123	75	960723	40--60	3340	0.02088	0.20973	10.044
123	76	960723	0--20	3341	0.03788	0.41062	10.8392
123	76	960723	40--60	3342	0.02436	0.24906	10.2251
123	77	960723	0--20	3343	0.03708	0.39729	10.7136
123	77	960723	40--60	3344	0.0225	0.21719	9.6521
123	78	960723	0--20	3345	0.04171	0.46977	11.263
123	78	960723	40--60	3346	0.0404	0.45282	11.2093
123	79	960723	0--20	3347	0.04552	0.49773	10.9335
123	79	960723	40--60	3348	0.03095	0.33012	10.666
123	80	960723	0--20	3349	0.04189	0.46606	11.1269
123	80	960723	40--60	3350	0.0305	0.31492	10.3257
123	81	960723	0--20	3351	0.0501	0.54877	10.9526
123	81	960723	40--60	3352	0.03922	0.40742	10.3876
123	82	960723	0--20	3353	0.04655	0.45294	9.7308
123	82	960723	40--60	3354	0.02825	0.22833	8.0827
123	83	960723	0--20	3355	0.05682	0.53547	9.4248
123	83	960723	40--60	3356	0.03599	0.29922	8.3133
123	84	960723	0--20	3357	0.06124	0.5643	9.2147
123	84	960723	40--60	3358	0.03288	0.2537	7.7158
123	85	960723	0--20	3359	0.06434	0.62744	9.7519
123	85	960723	40--60	3360	0.03968	0.3286	8.2811
123	86	960723	0--20	3361	0.05059	0.45549	9.0037
123	86	960723	40--60	3362	0.03572	0.2804	7.8506
123	87	960723	0--20	3363	0.0634	0.64377	10.1543
123	87	960723	40--60	3364	0.04129	0.31628	7.6605
123	88	960723	0--20	3365	0.05986	0.52168	8.7152
123	88	960723	40--60	3366	0.03478	0.25303	7.2755
123	89	960723	0--20	3367	0.03078	0.35304	11.4688
123	89	960723	40--60	3368	0.02343	0.25361	10.8235
123	90	960723	0--20	3369	0.0398	0.47787	12.0069
123	90	960723	40--60	3370	0.02706	0.26525	9.8026
123	91	960723	0--20	3371	0.04055	0.46392	11.4402
123	91	960723	40--60	3372	0.02747	0.27357	9.9599
123	92	960723	0--20	3373	0.04227	0.50972	12.0584
123	92	960723	40--60	3374	0.02582	0.2608	10.1003
123	93	960723	0--20	3375	0.03487	0.38949	11.1709
123	93	960723	40--60	3376	0.02995	0.29253	9.7684
123	94	960723	0--20	3377	0.0444	0.51292	11.5526
123	94	960723	40--60	3378	0.02501	0.24617	9.8415
123	95	960723	0--20	3379	0.05049	0.56011	11.0936
123	95	960723	40--60	3380	0.02462	0.22757	9.2423
123	96	960723	0--20	3381	0.0433	0.50641	11.6967
123	96	960723	40--60	3382	0.02176	0.20145	9.2565
123	97	960723	0--20	3383	0.03664	0.40734	11.1186
123	97	960723	40--60	3384	0.03013	0.28762	9.5456
123	98	960723	0--20	3385	0.04199	0.45076	10.7357
123	98	960723	40--60	3386	0.02184	0.23329	10.6811
123	99	960723	0--20	3387	0.04989	0.58045	11.6341
123	99	960723	40--60	3388	0.03166	0.32267	10.1916
123	100	960723	0--20	3389	0.03499	0.38557	11.0196
123	100	960723	40--60	3390	0.0291	0.31351	10.7728
123	101	960723	0--20	3391	0.03274	0.37207	11.3654
123	101	960723	40--60	3392	0.03287	0.35526	10.8097
123	102	960723	0--20	3393	0.04761	0.5669	11.9062
123	102	960723	40--60	3394	0.03196	0.33309	10.4221
123	103	960723	0--20	3395	0.0557	0.63245	11.3544
123	103	960723	40--60	3396	0.03258	0.35872	11.0101
123	104	960723	0--20	3397	0.0348	0.39101	11.2363
123	104	960723	40--60	3398	0.0273	0.28733	10.5242
123	105	960723	0--20	3399	0.0333	0.35707	10.7232
123	105	960723	40--60	3400	0.02679	0.2702	10.0872
123	106	960723	0--20	3401	0.03355	0.44595	13.2903
123	106	960723	40--60	3402	0.0386	0.39066	10.1221
123	107	960723	0--20	3403	0.0332	0.37026	11.1536
123	107	960723	40--60	3404	0.02111	0.2189	10.3682
123	108	960723	0--20	3405	0.04631	0.54593	11.7874
123	108	960723	40--60	3406	0.02787	0.31566	11.3247
123	109	960723	0--20	3407	0.03953	0.42723	10.8064
123	109	960723	40--60	3408	0.03782	0.40281	10.6506
123	110	960723	0--20	3409	0.04474	0.52043	11.6321
123	110	960723	40--60	3410	0.02286	0.23353	10.2165
123	111	960723	0--20	3411	0.04637	0.52878	11.4024
123	111	960723	40--60	3412	0.02242	0.20287	9.0475
123	112	960723	0--20	3413	0.03557	0.40144	11.2845
123	112	960723	40--60	3414	0.03403	0.36094	10.6063
123	113	960723	0--20	3415	0.05048	0.54718	10.8404
123	113	960723	40--60	3416	0.03197	0.33938	10.6144
123	114	960723	0--20	3417	0.04129	0.43451	10.5231
123	114	960723	40--60	3418	0.03842	0.37106	9.6569
123	115	960723	0--20	3419	0.05464	0.60526	11.077
123	115	960723	40--60	3420	0.02854	0.24621	8.628
123	116	960723	0--20	3421	0.04683	0.50739	10.8353
123	116	960723	40--60	3422	0.03534	0.3628	10.2655
123	117	960723	0--20	3423	0.04263	0.48424	11.3592
123	117	960723	40--60	3424	0.03442	0.34897	10.1379
123	118	960723	0--20	3425	0.04769	0.51568	10.8132
123	118	960723	40--60	3426	0.03175	0.28712	9.0435
123	119	960723	0--20	3427	0.03459	0.36354	10.5094
123	119	960723	40--60	3428	0.03333	0.31304	9.3928
123	120	960723	0--20	3429	0.04148	0.41313	9.9589
123	120	960723	40--60	3430	0.03238	0.26146	8.0746
123	121	960723	0--20	3431	0.05856	0.67658	11.5541
123	121	960723	40--60	3432	0.02422	0.24044	9.9271
123	122	960723	0--20	3433	0.04802	0.51957	10.8196
123	122	960723	40--60	3434	0.03639	0.3538	9.7223
123	123	960723	0--20	3435	0.04753	0.52079	10.9561
123	123	960723	40--60	3436	0.02837	0.30421	10.7245
123	124	960723	0--20	3437	0.04246	0.50006	11.7766
123	124	960723	40--60	3438	0.03295	0.36808	11.17
123	125	960723	0--20	3439	0.03709	0.45024	12.1385
123	125	960723	40--60	3440	0.02234	0.2377	10.6398
123	126	960723	0--20	3441	0.0398	0.45954	11.5451
123	126	960723	40--60	3442	0.02069	0.22257	10.7551
123	127	960723	0--20	3443	0.04122	0.45687	11.085
123	127	960723	40--60	3444	0.02275	0.23164	10.1801
123	128	960723	0--20	3445	0.0507	0.58254	11.489
123	128	960723	40--60	3446	0.02643	0.28894	10.9324
123	129	960723	0--20	3447	0.07302	0.88096	12.0646
123	129	960723	40--60	3448	0.03493	0.38698	11.0788
123	130	960723	0--20	3449	0.04868	0.56145	11.5345
123	130	960723	40--60	3450	0.03306	0.37499	11.3439
123	131	960723	0--20	3451	0.04903	0.57493	11.725
123	131	960723	40--60	3452	0.03124	0.35359	11.3194
123	132	960723	0--20	3453	0.0466	0.54782	11.757
123	132	960723	40--60	3454	0.03211	0.32654	10.1709
123	133	960723	0--20	3455	0.0485	0.57978	11.9549
123	133	960723	40--60	3456	0.02853	0.31034	10.8767
123	134	960723	0--20	3457	0.04331	0.51329	11.8528
123	134	960723	40--60	3458	0.02685	0.2934	10.9255
123	135	960723	0--20	3459	0.04679	0.53767	11.4921
123	135	960723	40--60	3460	0.02477	0.26932	10.872
123	136	960723	0--20	3461	0.04179	0.57571	13.7747
123	136	960723	40--60	3462	0.03118	0.33897	10.8722
123	137	960723	0--20	3463	0.04101	0.49176	11.9901
123	137	960723	40--60	3464	0.02175	0.24359	11.1984
123	138	960723	0--20	3465	0.05353	0.62768	11.7267
123	138	960723	40--60	3466	0.02175	0.24432	11.2312
123	139	960723	0--20	3467	0.04085	0.46292	11.3321
123	139	960723	40--60	3468	0.04212	0.45867	10.8905
123	140	960723	0--20	3469	0.04386	0.49889	11.3754
123	140	960723	40--60	3470	0.03476	0.38066	10.9506
123	141	960723	0--20	3471	0.04488	0.54769	12.2027
123	141	960723	40--60	3472	0.03017	0.33836	11.214
123	142	960723	0--20	3473	0.04063	0.51547	12.6861
123	142	960723	40--60	3474	0.02882	0.31487	10.925
123	143	960723	0--20	3475	0.03883	0.47642	12.2695
123	143	960723	40--60	3476	0.02599	0.29606	11.389
123	144	960723	0--20	3477	0.04857	0.58345	12.0132
123	144	960723	40--60	3478	0.03295	0.3659	11.1047
123	145	960723	0--20	3479	0.0307	0.36243	11.8043
123	145	960723	40--60	3480	0.0287	0.29622	10.3209
123	146	960723	0--20	3481	0.03818	0.45279	11.8597
123	146	960723	40--60	3482	0.02363	0.25916	10.9656
123	147	960723	0--20	3483	0.03483	0.40969	11.7627
123	147	960723	40--60	3484	0.02019	0.21143	10.4742
 	1	 	0--20	26550	0.05532419	0.6188394	11.18569
 	1	 	20--40	26551	0.02808814	0.3223099	11.47495
 	2	 	0--20	26552	0.04703716	0.5088236	10.81748
 	2	 	20--40	26553	0.03521536	0.3723978	10.57487
 	3	 	0--20	26554	0.04416069	0.4881318	11.05354
 	3	 	20--40	26555	0.04245601	0.44961	10.59002
 	4	 	0--20	26556	0.04714265	0.510268	10.82391
 	4	 	20--40	26557	0.02920634	0.2979824	10.20266
 	5	 	0--20	26558	0.06014943	0.679539	11.29751
 	5	 	20--40	26559	0.04094045	0.4377132	10.69146
 	6	 	0--20	26560	0.04901528	0.5320983	10.85576
 	6	 	20--40	26561	0.03732416	0.4092701	10.96529
 	7	 	0--20	26562	0.04687376	0.5387446	11.49352
 	7	 	20--40	26563	0.0505785	0.5537905	10.94913
 	8	 	0--20	26564	0.04562358	0.5077778	11.12972
 	8	 	20--40	26565	0.03212563	0.3579111	11.14098
 	9	 	0--20	26566	0.05695178	0.6321747	11.10017
 	9	 	20--40	26567	0.03930316	0.4245466	10.80184
 	10	 	0--20	26568	0.06274389	0.6705585	10.68723
 	10	 	20--40	26569	0.03893345	0.411942	10.58067
 	11	 	0--20	26570	0.0558483	0.6050428	10.83368
 	11	 	20--40	26571	0.03443213	0.3690448	10.71804
 	12	 	0--20	26572	0.04890435	0.5514295	11.27567
 	12	 	20--40	26573	0.03647985	0.3851645	10.55828
 	13	 	0--20	26574	0.05293668	0.6541807	12.3578
 	13	 	20--40	26575	0.03371117	0.3764914	11.16815
 	14	 	0--20	26576	0.05902339	0.6464185	10.9519
 	14	 	20--40	26577	0.0394312	0.4165133	10.56304
 	15	 	0--20	26578	0.0541175	0.6041917	11.16444
 	15	 	20--40	26579	0.03385169	0.3634954	10.73788
 	16	 	0--20	26580	0.0509534	0.5896248	11.57184
 	16	 	20--40	26581	0.04586806	0.502185	10.94847
 	17	 	0--20	26582	0.06104054	0.7075672	11.59176
 	17	 	20--40	26583	0.04135877	0.4644867	11.23067
 	18	 	0--20	26584	0.04766542	0.5217241	10.94555
 	18	 	20--40	26585	0.05297361	0.572872	10.81429
 	19	 	0--20	26586	0.04950189	0.5398067	10.90477
 	19	 	20--40	26587	0.04647656	0.4680986	10.07171
 	20	 	0--20	26588	0.04906996	0.511341	10.42065
 	20	 	20--40	26589	0.03346147	0.3545517	10.59582
 	21	 	0--20	26590	0.0421881	0.4510011	10.69024
 	21	 	20--40	26591	0.02796436	0.280217	10.0205
 	22	 	0--20	26592	0.04152121	0.4411297	10.6242
 	22	 	20--40	26593	0.03198587	0.3167122	9.90163
 	23	 	0--20	26594	0.03833223	0.4339552	11.3209
 	23	 	20--40	26595	0.03030563	0.3160806	10.42977
 	24	 	0--20	26596	0.05920687	0.6646223	11.22543
 	24	 	20--40	26597	0.03660541	0.3831947	10.46825
 	25	 	0--20	26598	0.05602877	0.6010687	10.72786
 	25	 	20--40	26599	0.04880586	0.5088064	10.42511
 	26	 	0--20	26600	0.0584889	0.6393389	10.93094
 	26	 	20--40	26601	0.04195144	0.4506658	10.74256
 	27	 	0--20	26602	0.04136692	0.4499655	10.87742
 	27	 	20--40	26603	0.03208084	0.3265011	10.17745
 	28	 	0--20	26604	0.05575376	0.6061891	10.87261
 	28	 	20--40	26605	0.03660439	0.4038158	11.0319
 	29	 	0--20	26606	0.04489012	0.4872108	10.85341
 	29	 	20--40	26607	0.03033854	0.2999115	9.8855
 	30	 	0--20	26608	0.04342756	0.4407911	10.15003
 	30	 	20--40	26609	0.04056504	0.406125	10.0117
 	31	 	0--20	26610	0.05909525	0.6350494	10.7462
 	31	 	20--40	26611	0.03770062	0.4056202	10.75898
 	32	 	0--20	26612	0.05235529	0.5461274	10.43118
 	32	 	20--40	26613	0.05011853	0.4858721	9.69446
 	33	 	0--20	26614	0.03982264	0.4166585	10.46285
 	33	 	20--40	26615	0.03757659	0.3782589	10.06634
 	34	 	0--20	26616	0.03800914	0.4184953	11.01039
 	34	 	20--40	26617	0.02602466	0.2581646	9.92
 	35	 	0--20	26618	0.03491432	0.364226	10.43199
 	35	 	20--40	26619	0.02733122	0.2496735	9.1351
 	36	 	0--20	26620	0.03370247	0.328317	9.74163
 	36	 	20--40	26621	0.02755388	0.2624169	9.52377
 	37	 	0--20	26622	0.03837733	0.3781581	9.85368
 	37	 	20--40	26623	0.0273261	0.2643571	9.67416
 	38	 	0--20	26624	0.04821879	0.4884577	10.13003
 	38	 	20--40	26625	0.02614498	0.247029	9.44843
 	39	 	0--20	26626	0.04101779	0.4038093	9.84474
 	39	 	20--40	26627	0.0394657	0.3985461	10.09854
 	40	 	0--20	26628	0.04521902	0.4732391	10.46549
 	40	 	20--40	26629	0.03450626	0.3347169	9.70018
 	41	 	0--20	26630	0.0358813	0.3625398	10.10386
 	41	 	20--40	26631	0.02909866	0.2822349	9.69924
 	42	 	0--20	26632	0.04487135	0.4368656	9.73596
 	42	 	20--40	26633	0.02806304	0.2628991	9.36816
 	43	 	0--20	26634	0.04239613	0.4239605	9.99998
 	43	 	20--40	26635	0.0230222	0.2091877	9.08635
 	44	 	0--20	26636	0.03654892	0.3841393	10.51028
 	44	 	20--40	26637	0.02637062	0.2569896	9.7453
 	45	 	0--20	26638	0.03960637	0.4190422	10.58017
 	45	 	20--40	26639	0.02720437	0.2610999	9.59772
 	46	 	0--20	26640	0.03331396	0.3549891	10.65587
 	46	 	20--40	26641	0.02881044	0.2837038	9.84726
 	47	 	0--20	26642	0.03518124	0.367773	10.45367
 	47	 	20--40	26643	0.02493333	0.2276571	9.13063
 	48	 	0--20	26644	0.03830063	0.402332	10.50458
 	48	 	20--40	26645	0.03059448	0.2925333	9.56164
 	49	 	0--20	26646	0.03245857	0.3385083	10.42893
 	49	 	20--40	26647	0.02961059	0.2912137	9.83478
 	50	 	0--20	26648	0.03352834	0.3758446	11.20976
 	50	 	20--40	26649	0.02489088	0.2777161	11.15734
 	51	 	0--20	26650	0.03600735	0.3608814	10.02244
 	51	 	20--40	26651	0.02770117	0.2783999	10.05011
 	52	 	0--20	26652	0.04076683	0.4171958	10.23371
 	52	 	20--40	26653	0.02974963	0.3122811	10.49697
 	53	 	0--20	26654	0.0375136	0.3745159	9.98347
 	53	 	20--40	26655	0.02774521	0.2661986	9.5944
 	54	 	0--20	26656	0.03546749	0.3554632	10.02223
 	54	 	20--40	26657	0.03549751	0.3252422	9.16239
 	55	 	0--20	26658	0.04050001	0.3979153	9.82507
 	55	 	20--40	26659	0.02912937	0.349851	12.01025
 	56	 	0--20	26660	0.03295239	0.3750965	11.38298
 	56	 	20--40	26661	0.02697043	0.3221808	11.9457
 	57	 	0--20	26662	0.04421197	0.5267434	11.91404
 	57	 	20--40	26663	0.03048218	0.3376992	11.07858
 	58	 	0--20	26664	0.03762408	0.4295691	11.4174
 	58	 	20--40	26665	0.02879119	0.3029912	10.52375
 	59	 	0--20	26666	0.03855403	0.4058968	10.528
 	59	 	20--40	26667	0.02754229	0.26864	9.75373
 	60	 	0--20	26668	0.04166539	0.4207102	10.09735
 	60	 	20--40	26669	0.04146654	0.4116034	9.92616
 	61	 	0--20	26670	0.04350162	0.4481229	10.30129
 	61	 	20--40	26671	0.02697784	0.2709283	10.04262
 	62	 	0--20	26672	0.02931467	0.3116937	10.63269
 	62	 	20--40	26673	0.02328962	0.2560692	10.99499
 	63	 	0--20	26674	0.03415837	0.3669187	10.74169
 	63	 	20--40	26675	0.02740937	0.268541	9.79742
 	64	 	0--20	26676	0.03804447	0.4215665	11.08089
 	64	 	20--40	26677	0.03165613	0.3137344	9.9107
 	65	 	0--20	26678	0.03903779	0.3851256	9.86546
 	65	 	20--40	26679	0.0286163	0.2599438	9.08377
 	66	 	0--20	26680	0.0409711	0.3943486	9.62504
 	66	 	20--40	26681	0.02788968	0.2701388	9.68598
 	67	 	0--20	26682	0.0386616	0.3941255	10.19424
 	67	 	20--40	26683	0.0367135	0.3363415	9.16125
 	68	 	0--20	26684	0.0390418	0.3998031	10.24039
 	68	 	20--40	26685	0.03466336	0.3583446	10.33785
 	69	 	0--20	26686	0.05065946	0.5243381	10.35025
 	69	 	20--40	26687	0.03121349	0.3230459	10.34956
 	70	 	0--20	26688	0.0438062	0.4721475	10.7781
 	70	 	20--40	26689	0.03082766	0.3082008	9.99754
 	71	 	0--20	26690	0.04414199	0.4392974	9.95192
 	71	 	20--40	26691	0.04013503	0.3797666	9.46222
 	72	 	0--20	26692	0.04135997	0.4030729	9.74548
 	72	 	20--40	26693	0.03151608	0.30399	9.64555
 	73	 	0--20	26694	0.04555285	0.457643	10.04642
 	73	 	20--40	26695	0.03253949	0.3037054	9.33344
 	74	 	0--20	26696	0.03845112	0.3813248	9.91713
 	74	 	20--40	26697	0.02437157	0.2300208	9.43808
 	75	 	0--20	26698	0.0481041	0.4936632	10.26239
 	75	 	20--40	26699	0.03785791	0.3584566	9.46847
 	76	 	0--20	26700	0.04000619	0.400947	10.02212
 	76	 	20--40	26701	0.03515552	0.3423246	9.73744
 	77	 	0--20	26702	0.0373308	0.3851688	10.31772
 	77	 	20--40	26703	0.03308861	0.3108717	9.39513
 	78	 	0--20	26704	0.05610451	0.5923834	10.55857
 	78	 	20--40	26705	0.04344478	0.4482268	10.31716
 	79	 	0--20	26706	0.0435012	0.4221373	9.70404
 	79	 	20--40	26707	0.03638713	0.3643379	10.01282
 	80	 	0--20	26708	0.05495865	0.5993891	10.90618
 	80	 	20--40	26709	0.03865618	0.396479	10.25655
 	81	 	0--20	26710	0.04819427	0.5050048	10.47852
 	81	 	20--40	26711	0.03493082	0.3621938	10.36889
 	82	 	0--20	26712	0.05309265	0.5593955	10.53621
 	82	 	20--40	26713	0.0357639	0.3639842	10.17742
 	83	 	0--20	26714	0.04397493	0.4411317	10.03144
 	83	 	20--40	26715	0.04110762	0.4319142	10.50691
 	84	 	0--20	26716	0.05658298	0.5786166	10.22598
 	84	 	20--40	26717	0.04006963	0.4046926	10.09973
 	85	 	0--20	26718	0.04614585	0.4745851	10.28446
 	85	 	20--40	26719	0.03765984	0.370834	9.84694
 	86	 	0--20	26720	0.04255659	0.4425406	10.39887
 	86	 	20--40	26721	0.03909316	0.3820063	9.77169
 	87	 	0--20	26722	0.0486244	0.5654735	11.62942
 	87	 	20--40	26723	0.03347141	0.3720859	11.11653
 	88	 	0--20	26724	0.04174411	0.4693167	11.2427
 	88	 	20--40	26725	0.02993556	0.3374837	11.27367
 	89	 	0--20	26726	0.04989703	0.5610857	11.24487
