"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	120	960729	ROOTS	0--30	5871	0.71368	32.9985	46.237
123	121	960729	ROOTS	0--30	5872	0.58998	43.8751	74.367
123	122	960729	ROOTS	0--30	5873	0.93537	33.9284	36.273
123	123	960729	ROOTS	0--30	5874	0.95089	33.383	35.107
123	124	960729	ROOTS	0--30	5875	0.79322	28.1551	35.495
123	125	960729	ROOTS	0--30	5876	1.53873	40.8948	26.577
123	126	960729	ROOTS	0--30	5877	0.8462	32.263	38.127
123	127	960729	ROOTS	0--30	5878	1.04173	36.2323	34.781
123	128	960729	ROOTS	0--30	5879	0.59887	33.1536	55.361
123	129	960729	ROOTS	0--30	5880	0.88409	40.9263	46.292
123	130	960729	ROOTS	0--30	5881	0.82921	32.1758	38.803
123	131	960729	ROOTS	0--30	5882	0.80545	36.2593	45.018
123	132	960729	ROOTS	0--30	5883	1.08219	43.707	40.388
123	133	960729	ROOTS	0--30	5884	0.87369	34.467	39.45
123	134	960729	ROOTS	0--30	5885	0.73011	40.6087	55.62
123	135	960729	ROOTS	0--30	5886	0.67647	33.0396	48.841
123	136	960729	ROOTS	0--30	5887	0.71199	30.1196	42.303
123	137	960729	ROOTS	0--30	5888	0.94536	33.0301	34.939
123	138	960729	ROOTS	0--30	5889	0.99126	34.8626	35.17
123	139	960729	ROOTS	0--30	5890	0.95247	34.9485	36.692
123	140	960729	ROOTS	0--30	5891	0.90759	43.8273	48.29
123	141	960729	ROOTS	0--30	5892	0.90972	28.3378	31.15
123	142	960729	ROOTS	0--30	5893	0.48634	21.9017	45.034
123	143	960729	ROOTS	0--30	5894	0.93235	32.0763	34.404
123	144	960729	ROOTS	0--30	5895	0.87547	32.2278	36.812
123	145	960729	ROOTS	0--30	5896	0.87565	30.7514	35.118
123	146	960729	ROOTS	0--30	5897	0.77011	35.8713	46.579
123	1	970721	ROOTS	0--30	20909	0.79092	34.3863	43.4766
123	2	970721	ROOTS	0--30	20910	0.8485	31.3737	36.9754
123	3	970721	ROOTS	0--30	20911	0.55295	20.0415	36.2446
123	4	970721	ROOTS	0--30	20912	1.19562	42.098	35.2101
123	5	970721	ROOTS	0--30	20913	0.72743	36.9777	50.8332
123	6	970721	ROOTS	0--30	20914	1.59411	42.0514	26.3792
123	7	970721	ROOTS	0--30	20915	0.80748	23.9464	29.6558
123	8	970721	ROOTS	0--30	20916	0.57219	36.3062	63.4509
123	9	970721	ROOTS	0--30	20917	1.00962	43.0169	42.607
123	10	970721	ROOTS	0--30	20918	0.57173	33.9519	59.3841
123	11	970721	ROOTS	0--30	20919	0.92553	41.5723	44.9172
123	12	970721	ROOTS	0--30	20920	0.92814	28.2124	30.3966
123	13	970721	ROOTS	0--30	20921	0.63491	37.3586	58.8403
123	14	970721	ROOTS	0--30	20922	0.99192	30.3878	30.6353
123	15	970721	ROOTS	0--30	20923	0.94519	33.6093	35.5581
123	16	970721	ROOTS	0--30	20924	0.63205	37.333	59.0663
123	17	970721	ROOTS	0--30	20925	0.7773	45.8107	58.9354
123	18	970721	ROOTS	0--30	20926	0.58228	42.5678	73.1053
123	19	970721	ROOTS	0--30	20927	0.81463	27.7577	34.0738
