"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Root biomass (g/m2)"	"Depth"	"Strip"	"Grazed"
 	2	980721	170.71	0-10 cm	 	 
 	2	980721	212.92	10-20 cm	 	 
 	2	980721	27.97	20-30 cm	 	 
 	3	980721	451.67	0-10 cm	 	 
 	3	980721	120.53	10-20 cm	 	 
 	3	980721	13.99	20-30 cm	 	 
 	4	980721	197.29	0-10 cm	 	 
 	4	980721	87.21	10-20 cm	 	 
 	4	980721	3.62	20-30 cm	 	 
 	5	980721	408.23	0-10 cm	 	 
 	5	980721	438.84	10-20 cm	 	 
 	5	980721	281.37	20-30 cm	 	 
 	6	980721	158.21	0-10 cm	 	 
 	6	980721	86.96	10-20 cm	 	 
 	6	980721	16.45	20-30 cm	 	 
 	7	980721	418.76	0-10 cm	 	 
 	7	980721	92.56	10-20 cm	 	 
 	7	980721	18.1	20-30 cm	 	 
 	8	980721	110.24	0-10 cm	 	 
 	8	980721	32.91	10-20 cm	 	 
 	8	980721	1.32	20-30 cm	 	 
 	9	980721	189.23	0-10 cm	 	 
 	9	980721	58.41	10-20 cm	 	 
 	9	980721	7.4	20-30 cm	 	 
 	10	980721	159.69	0-10 cm	 	 
 	10	980721	60.06	10-20 cm	 	 
 	10	980721	72.4	20-30 cm	 	 
 	11	980721	60.88	0-10 cm	 	 
 	11	980721	46.89	10-20 cm	 	 
 	11	980721	11.52	20-30 cm	 	 
 	12	980721	457.84	0-10 cm	 	 
 	12	980721	102.02	10-20 cm	 	 
 	12	980721	48.54	20-30 cm	 	 
 	13	980721	324.97	0-10 cm	 	 
 	13	980721	137.39	10-20 cm	 	 
 	13	980721	90.5	20-30 cm	 	 
 	14	980721	461.55	0-10 cm	 	 
 	14	980721	183.47	10-20 cm	 	 
 	14	980721	90.5	20-30 cm	 	 
 	15	980721	578.62	0-10 cm	 	 
 	15	980721	199.51	10-20 cm	 	 
 	15	980721	60.55	20-30 cm	 	 
 	16	980721	649.78	0-10 cm	 	 
 	16	980721	153.85	10-20 cm	 	 
 	16	980721	105.31	20-30 cm	 	 
 	17	980721	580.26	0-10 cm	 	 
 	17	980721	204.03	10-20 cm	 	 
 	17	980721	68.29	20-30 cm	 	 
 	18	980721	306.3	0-10 cm	 	 
 	18	980721	123.41	10-20 cm	 	 
 	18	980721	66.64	20-30 cm	 	 
 	19	980721	586.52	0-10 cm	 	 
 	19	980721	180.34	10-20 cm	 	 
 	19	980721	46.73	20-30 cm	 	 
 	20	980721	195.48	0-10 cm	 	 
 	20	980721	27.97	10-20 cm	 	 
 	20	980721	1.73	20-30 cm	 	 
 	21	980721	18.1	0-10 cm	 	 
 	21	980721	5.76	10-20 cm	 	 
 	21	980721	0	20-30 cm	 	 
 	22	980721	41.14	0-10 cm	 	 
 	22	980721	3.29	10-20 cm	 	 
 	22	980721	0	20-30 cm	 	 
 	23	980721	50.19	0-10 cm	 	 
 	23	980721	19.75	10-20 cm	 	 
 	23	980721	4.11	20-30 cm	 	 
 	24	980721	431.1	0-10 cm	 	 
 	24	980721	99.71	10-20 cm	 	 
 	24	980721	33.73	20-30 cm	 	 
 	25	980721	127.52	0-10 cm	 	 
 	25	980721	43.85	10-20 cm	 	 
 	25	980721	8.23	20-30 cm	 	 
 	26	980721	327.03	0-10 cm	 	 
 	26	980721	205.84	10-20 cm	 	 
 	26	980721	86.71	20-30 cm	 	 
 	27	980721	155.74	0-10 cm	 	 
 	27	980721	41.96	10-20 cm	 	 
 	27	980721	22.21	20-30 cm	 	 
 	28	980721	700.79	0-10 cm	 	 
 	28	980721	186.02	10-20 cm	 	 
 	28	980721	60.14	20-30 cm	 	 
 	29	980721	857.68	0-10 cm	 	 
 	29	980721	265.99	10-20 cm	 	 
 	29	980721	81.61	20-30 cm	 	 
 	30	980721	332.38	0-10 cm	 	 
 	30	980721	118.39	10-20 cm	 	 
 	30	980721	14.81	20-30 cm	 	 
 	31	980721	517.41	0-10 cm	 	 
 	31	980721	185.11	10-20 cm	 	 
 	31	980721	62.53	20-30 cm	 	 
 	32	980721	836.95	0-10 cm	 	 
 	32	980721	274.71	10-20 cm	 	 
 	32	980721	55.94	20-30 cm	 	 
 	33	980721	1104.09	0-10 cm	 	 
 	33	980721	184.78	10-20 cm	 	 
 	33	980721	95.93	20-30 cm	 	 
 	34	980721	380.34	0-10 cm	 	 
 	34	980721	229.62	10-20 cm	 	 
 	34	980721	99.96	20-30 cm	 	 
 	35	980721	60.88	0-10 cm	 	 
 	35	980721	69.93	10-20 cm	 	 
 	35	980721	8.23	20-30 cm	 	 
 	36	980721	72.4	0-10 cm	 	 
 	36	980721	11.52	10-20 cm	 	 
 	36	980721	1.65	20-30 cm	 	 
 	37	980721	279.72	0-10 cm	 	 
 	37	980721	115.18	10-20 cm	 	 
 	37	980721	33.73	20-30 cm	 	 
 	38	980721	353.69	0-10 cm	 	 
 	38	980721	47.72	10-20 cm	 	 
 	38	980721	25.5	20-30 cm	 	 
 	39	980721	106.13	0-10 cm	 	 
 	39	980721	77.34	10-20 cm	 	 
 	39	980721	68.29	20-30 cm	 	 
 	40	980721	711.9	0-10 cm	 	 
 	40	980721	54.3	10-20 cm	 	 
 	40	980721	140.03	20-30 cm	 	 
 	41	980721	1007.17	0-10 cm	 	 
 	41	980721	318.31	10-20 cm	 	 
 	41	980721	54.79	20-30 cm	 	 
 	42	980721	464.01	0-10 cm	 	 
 	42	980721	73.22	10-20 cm	 	 
 	42	980721	14.81	20-30 cm	 	 
 	43	980721	73.22	0-10 cm	 	 
 	43	980721	228.72	10-20 cm	 	 
 	43	980721	107.78	20-30 cm	 	 
 	44	980721	774.18	0-10 cm	 	 
 	44	980721	212.84	10-20 cm	 	 
 	44	980721	58	20-30 cm	 	 
 	45	980721	1030.21	0-10 cm	 	 
 	45	980721	613.75	10-20 cm	 	 
 	45	980721	138.88	20-30 cm	 	 
 	46	980721	812.02	0-10 cm	 	 
 	46	980721	203.29	10-20 cm	 	 
 	46	980721	103.58	20-30 cm	 	 
 	47	980721	727.28	0-10 cm	 	 
 	47	980721	183.3	10-20 cm	 	 
 	47	980721	30.69	20-30 cm	 	 
 	48	980721	656.45	0-10 cm	 	 
 	48	980721	115.18	10-20 cm	 	 
 	48	980721	21.39	20-30 cm	 	 
 	49	980721	290.5	0-10 cm	 	 
 	49	980721	111.31	10-20 cm	 	 
 	49	980721	29.29	20-30 cm	 	 
 	50	980721	273.14	0-10 cm	 	 
 	50	980721	79.8	10-20 cm	 	 
 	50	980721	20.57	20-30 cm	 	 
 	51	980721	251.18	0-10 cm	 	 
 	51	980721	77.99	10-20 cm	 	 
 	51	980721	33.73	20-30 cm	 	 
 	52	980721	391.45	0-10 cm	 	 
 	52	980721	183.3	10-20 cm	 	 
 	52	980721	109.42	20-30 cm	 	 
 	53	980721	306.38	0-10 cm	 	 
 	53	980721	165.45	10-20 cm	 	 
 	53	980721	12.59	20-30 cm	 	 
 	54	980721	419.59	0-10 cm	 	 
 	54	980721	58.82	10-20 cm	 	 
 	54	980721	11.11	20-30 cm	 	 
 	55	980721	672	0-10 cm	 	 
 	55	980721	126.86	10-20 cm	 	 
 	55	980721	39.57	20-30 cm	 	 
 	56	980721	363.56	0-10 cm	 	 
 	56	980721	155.82	10-20 cm	 	 
 	56	980721	49.36	20-30 cm	 	 
 	57	980721	967.11	0-10 cm	 	 
 	57	980721	243.03	10-20 cm	 	 
 	57	980721	72.98	20-30 cm	 	 
 	58	980722	458.67	0-10 cm	 	 
 	58	980722	147.92	10-20 cm	 	 
 	58	980722	25.34	20-30 cm	 	 
 	59	980722	119.29	0-10 cm	 	 
 	59	980722	17.28	10-20 cm	 	 
 	59	980722	1.07	20-30 cm	 	 
 	60	980722	352.95	0-10 cm	 	 
 	60	980722	147.6	10-20 cm	 	 
 	60	980722	31.51	20-30 cm	 	 
 	61	980722	675.04	0-10 cm	 	 
 	61	980722	197.78	10-20 cm	 	 
 	61	980722	58.33	20-30 cm	 	 
 	62	980722	370.55	0-10 cm	 	 
 	62	980722	162.73	10-20 cm	 	 
 	62	980722	50.1	20-30 cm	 	 
 	63	980722	492.64	0-10 cm	 	 
 	63	980722	71.49	10-20 cm	 	 
 	63	980722	12.34	20-30 cm	 	 
 	64	980722	527.94	0-10 cm	 	 
 	64	980722	58.5	10-20 cm	 	 
 	64	980722	24.93	20-30 cm	 	 
 	65	980722	491.08	0-10 cm	 	 
 	65	980722	116.74	10-20 cm	 	 
 	65	980722	25.59	20-30 cm	 	 
 	66	980722	107.94	0-10 cm	 	 
 	66	980722	83.09	10-20 cm	 	 
 	66	980722	9.05	20-30 cm	 	 
 	67	980722	391.37	0-10 cm	 	 
 	67	980722	264.09	10-20 cm	 	 
 	67	980722	40.31	20-30 cm	 	 
 	68	980722	645.59	0-10 cm	 	 
 	68	980722	215.55	10-20 cm	 	 
 	68	980722	89.84	20-30 cm	 	 
 	69	980722	488.12	0-10 cm	 	 
 	69	980722	239.82	10-20 cm	 	 
 	69	980722	37.85	20-30 cm	 	 
 	70	980722	336.99	0-10 cm	 	 
 	70	980722	130.4	10-20 cm	 	 
 	70	980722	52.57	20-30 cm	 	 
 	71	980722	123.65	0-10 cm	 	 
 	71	980722	61.7	10-20 cm	 	 
 	71	980722	6.58	20-30 cm	 	 
 	72	980722	344.8	0-10 cm	 	 
 	72	980722	241.63	10-20 cm	 	 
 	72	980722	126.53	20-30 cm	 	 
 	73	980722	523.83	0-10 cm	 	 
 	73	980722	171.21	10-20 cm	 	 
 	73	980722	27.97	20-30 cm	 	 
 	74	980722	392.44	0-10 cm	 	 
 	74	980722	129.91	10-20 cm	 	 
 	74	980722	64.17	20-30 cm	 	 
 	75	980722	677.59	0-10 cm	 	 
 	75	980722	66.64	10-20 cm	 	 
 	75	980722	8.23	20-30 cm	 	 
 	76	980722	228.72	0-10 cm	 	 
 	76	980722	123.41	10-20 cm	 	 
 	76	980722	57.59	20-30 cm	 	 
 	77	980722	366.93	0-10 cm	 	 
 	77	980722	59.24	10-20 cm	 	 
 	77	980722	0.82	20-30 cm	 	 
 	78	980722	206.5	0-10 cm	 	 
 	78	980722	134.93	10-20 cm	 	 
 	78	980722	23.04	20-30 cm	 	 
 	79	980722	74.04	0-10 cm	 	 
 	79	980722	45.25	10-20 cm	 	 
 	79	980722	0.82	20-30 cm	 	 
 	80	980722	1035.97	0-10 cm	 	 
 	80	980722	161.01	10-20 cm	 	 
 	80	980722	41.88	20-30 cm	 	 
 	81	980722	205.19	0-10 cm	 	 
 	81	980722	86.71	10-20 cm	 	 
 	81	980722	7.73	20-30 cm	 	 
 	82	980722	232.01	0-10 cm	 	 
 	82	980722	170.3	10-20 cm	 	 
 	82	980722	24.68	20-30 cm	 	 
 	83	980722	208.15	0-10 cm	 	 
 	83	980722	375.16	10-20 cm	 	 
 	83	980722	126.7	20-30 cm	 	 
 	84	980722	643.45	0-10 cm	 	 
 	84	980722	263.19	10-20 cm	 	 
 	84	980722	49.77	20-30 cm	 	 
 	85	980722	605.36	0-10 cm	 	 
 	85	980722	68.7	10-20 cm	 	 
 	85	980722	142	20-30 cm	 	 
 	86	980722	324.97	0-10 cm	 	 
 	86	980722	126.7	10-20 cm	 	 
 	86	980722	65.82	20-30 cm	 	 
 	87	980722	862.46	0-10 cm	 	 
 	87	980722	181	10-20 cm	 	 
 	87	980722	62.53	20-30 cm	 	 
 	88	980722	1917.92	0-10 cm	 	 
 	88	980722	169.64	10-20 cm	 	 
 	88	980722	90.17	20-30 cm	 	 
 	89	980722	1018.77	0-10 cm	 	 
 	89	980722	201.73	10-20 cm	 	 
 	89	980722	50.93	20-30 cm	 	 
 	90	980722	420.41	0-10 cm	 	 
 	90	980722	7.4	10-20 cm	 	 
 	90	980722	1.48	20-30 cm	 	 
 	91	980722	265.82	0-10 cm	 	 
 	91	980722	80.63	10-20 cm	 	 
 	91	980722	13.99	20-30 cm	 	 
 	92	980722	291.16	0-10 cm	 	 
 	92	980722	52.65	10-20 cm	 	 
 	92	980722	1.65	20-30 cm	 	 
 	93	980722	440.73	0-10 cm	 	 
 	93	980722	112.38	10-20 cm	 	 
 	93	980722	72.48	20-30 cm	 	 
 	94	980722	634.65	0-10 cm	 	 
 	94	980722	180.01	10-20 cm	 	 
 	94	980722	72.07	20-30 cm	 	 
 	95	980722	556.98	0-10 cm	 	 
 	95	980722	180.59	10-20 cm	 	 
 	95	980722	56.36	20-30 cm	 	 
 	96	980722	1025.85	0-10 cm	 	 
 	96	980722	133.28	10-20 cm	 	 
 	96	980722	65.82	20-30 cm	 	 
 	97	980722	156.4	0-10 cm	 	 
 	97	980722	18.92	10-20 cm	 	 
 	97	980722	4.94	20-30 cm	 	 
 	98	980722	477.84	0-10 cm	 	 
 	98	980722	156.32	10-20 cm	 	 
 	98	980722	28.38	20-30 cm	 	 
 	99	980723	116	0-10 cm	 	 
 	99	980723	131.64	10-20 cm	 	 
 	99	980723	46.89	20-30 cm	 	 
 	100	980723	442.46	0-10 cm	 	 
 	100	980723	151.63	10-20 cm	 	 
 	100	980723	56.77	20-30 cm	 	 
 	101	980723	429.46	0-10 cm	 	 
 	101	980723	92.97	10-20 cm	 	 
 	101	980723	15.63	20-30 cm	 	 
 	102	980723	251.83	0-10 cm	 	 
 	102	980723	143.98	10-20 cm	 	 
 	102	980723	64.17	20-30 cm	 	 
 	103	980723	273.97	0-10 cm	 	 
 	103	980723	150.39	10-20 cm	 	 
 	103	980723	45.25	20-30 cm	 	 
 	104	980723	481.21	0-10 cm	 	 
 	104	980723	140.03	10-20 cm	 	 
 	104	980723	28.38	20-30 cm	 	 
 	105	980723	770.39	0-10 cm	 	 
 	105	980723	115.35	10-20 cm	 	 
 	105	980723	20.32	20-30 cm	 	 
 	106	980723	241.06	0-10 cm	 	 
 	106	980723	172.44	10-20 cm	 	 
 	106	980723	5.76	20-30 cm	 	 
 	107	980723	547.19	0-10 cm	 	 
 	107	980723	146.77	10-20 cm	 	 
 	107	980723	39.24	20-30 cm	 	 
 	108	980723	302.76	0-10 cm	 	 
 	108	980723	114.36	10-20 cm	 	 
 	108	980723	26.33	20-30 cm	 	 
 	109	980723	232.01	0-10 cm	 	 
 	109	980723	71.58	10-20 cm	 	 
 	109	980723	32.09	20-30 cm	 	 
 	110	980723	338.8	0-10 cm	 	 
 	110	980723	140.11	10-20 cm	 	 
 	110	980723	39.9	20-30 cm	 	 
 	111	980723	349.66	0-10 cm	 	 
 	111	980723	109.01	10-20 cm	 	 
 	111	980723	26.33	20-30 cm	 	 
 	112	980723	120.12	0-10 cm	 	 
 	112	980723	73.22	10-20 cm	 	 
 	112	980723	21.39	20-30 cm	 	 
 	113	980723	99.55	0-10 cm	 	 
 	113	980723	234.06	10-20 cm	 	 
 	113	980723	41.96	20-30 cm	 	 
 	114	980723	334.52	0-10 cm	 	 
 	114	980723	79.72	10-20 cm	 	 
 	114	980723	33.73	20-30 cm	 	 
 	115	980723	296.51	0-10 cm	 	 
 	115	980723	142.41	10-20 cm	 	 
 	115	980723	113.78	20-30 cm	 	 
 	116	980723	548.75	0-10 cm	 	 
 	116	980723	111.56	10-20 cm	 	 
 	116	980723	75.44	20-30 cm	 	 
 	117	980723	954.44	0-10 cm	 	 
 	117	980723	170.06	10-20 cm	 	 
 	117	980723	46.07	20-30 cm	 	 
 	118	980723	316.75	0-10 cm	 	 
 	118	980723	156.32	10-20 cm	 	 
 	118	980723	38.67	20-30 cm	 	 
 	119	980723	502.02	0-10 cm	 	 
 	119	980723	80.63	10-20 cm	 	 
 	119	980723	8.23	20-30 cm	 	 
 	120	980723	326.46	0-10 cm	 	 
 	120	980723	79.8	10-20 cm	 	 
 	120	980723	17.85	20-30 cm	 	 
 	121	980723	411.11	0-10 cm	 	 
 	121	980723	131.88	10-20 cm	 	 
 	121	980723	11.52	20-30 cm	 	 
 	122	980723	192.27	0-10 cm	 	 
 	122	980723	75.69	10-20 cm	 	 
 	122	980723	69.93	20-30 cm	 	 
 	123	980723	533.12	0-10 cm	 	 
 	123	980723	99.55	10-20 cm	 	 
 	123	980723	21.39	20-30 cm	 	 
 	124	980723	796.97	0-10 cm	 	 
 	124	980723	186.1	10-20 cm	 	 
 	124	980723	55.78	20-30 cm	 	 
 	125	980723	153.03	0-10 cm	 	 
 	125	980723	125.05	10-20 cm	 	 
 	125	980723	18.92	20-30 cm	 	 
 	126	980723	763.65	0-10 cm	 	 
 	126	980723	185.85	10-20 cm	 	 
 	126	980723	52.65	20-30 cm	 	 
 	127	980723	452	0-10 cm	 	 
 	127	980723	81.45	10-20 cm	 	 
 	127	980723	18.92	20-30 cm	 	 
 	128	980723	1002.98	0-10 cm	 	 
 	128	980723	157.88	10-20 cm	 	 
 	128	980723	98.07	20-30 cm	 	 
 	129	980723	733.37	0-10 cm	 	 
 	129	980723	302.02	10-20 cm	 	 
 	129	980723	62.53	20-30 cm	 	 
 	130	980723	173.59	0-10 cm	 	 
 	130	980723	101.19	10-20 cm	 	 
 	130	980723	31.26	20-30 cm	 	 
 	131	980723	1003.55	0-10 cm	 	 
 	131	980723	255.87	10-20 cm	 	 
 	131	980723	69.11	20-30 cm	 	 
 	132	980723	426.5	0-10 cm	 	 
 	132	980723	143.32	10-20 cm	 	 
 	132	980723	59.24	20-30 cm	 	 
 	133	980723	336.33	0-10 cm	 	 
 	133	980723	88.28	10-20 cm	 	 
 	133	980723	18.51	20-30 cm	 	 
 	134	980723	238.84	0-10 cm	 	 
 	134	980723	169.48	10-20 cm	 	 
 	134	980723	49.53	20-30 cm	 	 
 	135	980723	198.28	0-10 cm	 	 
 	135	980723	77.34	10-20 cm	 	 
 	135	980723	37.02	20-30 cm	 	 
 	136	980723	763.4	0-10 cm	 	 
 	136	980723	260.06	10-20 cm	 	 
 	136	980723	115.26	20-30 cm	 	 
 	137	980723	459.65	0-10 cm	 	 
 	137	980723	145.62	10-20 cm	 	 
 	137	980723	81.45	20-30 cm	 	 
 	138	980723	902.36	0-10 cm	 	 
 	138	980723	246.08	10-20 cm	 	 
 	138	980723	130.73	20-30 cm	 	 
 	139	980723	616.96	0-10 cm	 	 
 	139	980723	109.42	10-20 cm	 	 
 	139	980723	37.02	20-30 cm	 	 
 	140	980723	227.07	0-10 cm	 	 
 	140	980723	39.49	10-20 cm	 	 
 	140	980723	8.23	20-30 cm	 	 
 	141	980723	694.46	0-10 cm	 	 
 	141	980723	295.77	10-20 cm	 	 
 	141	980723	234.47	20-30 cm	 	 
 	142	980723	1142.26	0-10 cm	 	 
 	142	980723	151.38	10-20 cm	 	 
 	142	980723	73.22	20-30 cm	 	 
 	143	980723	848.14	0-10 cm	 	 
 	143	980723	376.81	10-20 cm	 	 
 	143	980723	137.89	20-30 cm	 	 
 	144	980723	367.76	0-10 cm	 	 
 	144	980723	88.03	10-20 cm	 	 
 	144	980723	37.02	20-30 cm	 	 
 	145	980723	1228.65	0-10 cm	 	 
 	145	980723	185.11	10-20 cm	 	 
 	145	980723	33.73	20-30 cm	 	 
 	146	980723	1344.32	0-10 cm	 	 
 	146	980723	264.09	10-20 cm	 	 
 	146	980723	75.69	20-30 cm	 	 
 	147	980723	247.64	0-10 cm	 	 
 	147	980723	93.79	10-20 cm	 	 
 	147	980723	11.52	20-30 cm	 	 
 	1	 	1209.4	 	 	 
 	2	 	942.01	 	 	 
 	3	 	925.56	 	 	 
 	4	 	83.09	 	 	 
 	5	 	789.81	 	 	 
 	6	 	209.79	 	 	 
 	7	 	791.46	 	 	 
 	8	 	1112.32	 	 	 
 	9	 	407.25	 	 	 
 	10	 	894.3	 	 	 
 	11	 	44.43	 	 	 
 	12	 	316.75	 	 	 
 	13	 	826.83	 	 	 
 	14	 	508.44	 	 	 
 	15	 	1009.48	 	 	 
 	16	 	621.15	 	 	 
 	17	 	838.35	 	 	 
 	18	 	493.63	 	 	 
 	19	 	1580.44	 	 	 
 	20	 	393.26	 	 	 
 	21	 	16.45	 	 	 
 	22	 	47.72	 	 	 
 	23	 	218.02	 	 	 
 	24	 	604.7	 	 	 
 	25	 	121.76	 	 	 
 	26	 	1430.71	 	 	 
 	27	 	194.98	 	 	 
 	28	 	1224.21	 	 	 
 	29	 	1133.71	 	 	 
 	30	 	384.21	 	 	 
 	31	 	1282.62	 	 	 
 	32	 	1285.91	 	 	 
 	33	 	949.42	 	 	 
 	34	 	326.62	 	 	 
 	35	 	1076.94	 	 	 
 	36	 	27.97	 	 	 
 	37	 	650.77	 	 	 
 	38	 	205.68	 	 	 
 	39	 	578.37	 	 	 
 	40	 	645.01	 	 	 
 	41	 	976.57	 	 	 
 	42	 	1162.5	 	 	 
 	43	 	812.02	 	 	 
 	44	 	1172.37	 	 	 
 	45	 	938.72	 	 	 
 	46	 	1417.55	 	 	 
 	47	 	1021.82	 	 	 
 	48	 	602.23	 	 	 
 	49	 	1079.41	 	 	 
 	50	 	383.39	 	 	 
 	51	 	443.45	 	 	 
 	52	 	347.19	 	 	 
 	53	 	616.22	 	 	 
 	54	 	320.86	 	 	 
 	55	 	329.09	 	 	 
 	56	 	278.9	 	 	 
 	57	 	917.33	 	 	 
 	58	 	479.65	 	 	 
 	59	 	131.64	 	 	 
 	60	 	1066.24	 	 	 
 	61	 	1369	 	 	 
 	62	 	1131.24	 	 	 
 	63	 	568.5	 	 	 
 	64	 	635.14	 	 	 
 	65	 	714.94	 	 	 
 	66	 	128.34	 	 	 
 	67	 	633.49	 	 	 
 	68	 	1423.3	 	 	 
 	69	 	496.92	 	 	 
 	70	 	636.78	 	 	 
 	71	 	519.14	 	 	 
 	72	 	960.11	 	 	 
 	73	 	476.35	 	 	 
 	74	 	481.29	 	 	 
 	75	 	887.71	 	 	 
 	76	 	810.38	 	 	 
 	77	 	498.57	 	 	 
 	78	 	507.62	 	 	 
 	79	 	168.66	 	 	 
 	80	 	681.21	 	 	 
 	81	 	181	 	 	 
 	82	 	459.08	 	 	 
 	83	 	677.92	 	 	 
 	84	 	481.29	 	 	 
 	85	 	948.6	 	 	 
 	86	 	1034.98	 	 	 
 	87	 	850.69	 	 	 
 	88	 	1537.66	 	 	 
 	89	 	487.05	 	 	 
 	90	 	467.3	 	 	 
 	91	 	559.45	 	 	 
 	92	 	161.25	 	 	 
 	93	 	1295.78	 	 	 
 	94	 	1340.21	 	 	 
 	95	 	722.35	 	 	 
 	96	 	1137.82	 	 	 
 	97	 	617.04	 	 	 
 	98	 	756.08	 	 	 
 	99	 	362.82	 	 	 
 	100	 	222.96	 	 	 
 	101	 	949.42	 	 	 
 	102	 	467.3	 	 	 
