"Data set title: Christopher B. Craft. 2018. Sediment elevation measurements from the GCE LTER Seawater Addition Long-Term Experiment (SALTEx) sampling sites from July 2013 to August 2022. Georgia Coastal Ecosystems LTER Data Catalog (data set GEL-GCED-1802; /data/GEL-GCED-1802)",,,,,,,,
,,,,,,,,,
"Sample_Date","Plot","Treatment","Moved_From","Replicate","Arm","Pin_Number","Elevation","Flag_Elevation"
2013-07-15,"C2","CS","PR2",3,6,9,254,""
2013-07-15,"A2","Fr","",2,1,1,261,""
2013-07-15,"A2","Fr","",2,1,2,250,""
2013-07-15,"A2","Fr","",2,1,3,259,""
2013-07-15,"A2","Fr","",2,1,4,,""
2013-07-15,"A2","Fr","",2,1,5,261,""
2013-07-15,"A2","Fr","",2,1,6,250,""
2013-07-15,"A2","Fr","",2,1,7,252,""
2013-07-15,"A2","Fr","",2,1,8,253,""
2013-07-15,"A2","Fr","",2,1,9,254,""
2013-07-15,"A2","Fr","",2,7,1,250,""
2013-07-15,"A2","Fr","",2,7,2,246,""
2013-07-15,"A2","Fr","",2,7,3,249,""
2013-07-15,"A2","Fr","",2,7,4,245,""
2013-07-15,"A2","Fr","",2,7,5,240,""
2013-07-15,"A2","Fr","",2,7,6,,""
2013-07-15,"A2","Fr","",2,7,7,241,""
2013-07-15,"A2","Fr","",2,7,8,242,""
2013-07-15,"A2","Fr","",2,7,9,,""
2013-07-15,"A2","Fr","",2,8,1,247,""
2013-07-15,"A2","Fr","",2,8,2,252,""
2013-07-15,"A2","Fr","",2,8,3,258,""
2013-07-15,"A2","Fr","",2,8,4,248,""
2013-07-15,"A2","Fr","",2,8,5,247,""
2013-07-15,"A2","Fr","",2,8,6,258,""
2013-07-15,"A2","Fr","",2,8,7,252,""
2013-07-15,"A2","Fr","",2,8,8,245,""
2013-07-15,"A2","Fr","",2,8,9,243,""
2013-07-15,"A3","Fr","",3,1,1,289,""
2013-07-15,"A3","Fr","",3,1,2,289,""
2013-07-15,"A3","Fr","",3,1,3,293,""
2013-07-15,"A3","Fr","",3,1,4,296,""
2013-07-15,"A3","Fr","",3,1,5,294,""
2013-07-15,"A3","Fr","",3,1,6,297,""
2013-07-15,"A3","Fr","",3,1,7,291,""
2013-07-15,"A3","Fr","",3,1,8,292,""
2013-07-15,"A3","Fr","",3,1,9,295,""
2013-07-15,"A3","Fr","",3,7,1,,""
2013-07-15,"A3","Fr","",3,7,2,290,""
2013-07-15,"A3","Fr","",3,7,3,292,""
2013-07-15,"A3","Fr","",3,7,4,290,""
2013-07-15,"A3","Fr","",3,7,5,287,""
2013-07-15,"A3","Fr","",3,7,6,292,""
2013-07-15,"A3","Fr","",3,7,7,292,""
2013-07-15,"A3","Fr","",3,7,8,291,""
2013-07-15,"A3","Fr","",3,7,9,295,""
2013-07-15,"A3","Fr","",3,8,1,283,""
2013-07-15,"A3","Fr","",3,8,2,291,""
2013-07-15,"A3","Fr","",3,8,3,298,""
2013-07-15,"A3","Fr","",3,8,4,293,""
2013-07-15,"A3","Fr","",3,8,5,291,""
2013-07-15,"A3","Fr","",3,8,6,288,""
2013-07-15,"A3","Fr","",3,8,7,293,""
2013-07-15,"A3","Fr","",3,8,8,296,""
2013-07-15,"A3","Fr","",3,8,9,296,""
2013-07-15,"A5","Fr","",5,5,1,,""
2013-07-15,"A5","Fr","",5,5,2,295,""
2013-07-15,"A5","Fr","",5,5,3,297,""
2013-07-15,"A5","Fr","",5,5,4,295,""
2013-07-15,"A5","Fr","",5,5,5,,""
2013-07-15,"A5","Fr","",5,5,6,302,""
2013-07-15,"A5","Fr","",5,5,7,301,""
2013-07-15,"A5","Fr","",5,5,8,296,""
2013-07-15,"A5","Fr","",5,5,9,,""
2013-07-15,"A5","Fr","",5,6,1,,""
2013-07-15,"A5","Fr","",5,6,2,296,""
2013-07-15,"A5","Fr","",5,6,3,291,""
2013-07-15,"A5","Fr","",5,6,4,293,""
2013-07-15,"A5","Fr","",5,6,5,282,""
2013-07-15,"A5","Fr","",5,6,6,289,""
2013-07-15,"A5","Fr","",5,6,7,284,""
2013-07-15,"A5","Fr","",5,6,8,284,""
2013-07-15,"A5","Fr","",5,6,9,283,""
2013-07-15,"A5","Fr","",5,7,1,293,""
2013-07-15,"A5","Fr","",5,7,2,303,""
2013-07-15,"A5","Fr","",5,7,3,306,""
2013-07-15,"A5","Fr","",5,7,4,290,""
2013-07-15,"A5","Fr","",5,7,5,,""
2013-07-15,"A5","Fr","",5,7,6,298,""
2013-07-15,"A5","Fr","",5,7,7,292,""
2013-07-15,"A5","Fr","",5,7,8,305,""
2013-07-15,"A5","Fr","",5,7,9,284,""
2013-07-15,"A6","Fr","",6,3,1,292,""
2013-07-15,"A6","Fr","",6,3,2,298,""
2013-07-15,"A6","Fr","",6,3,3,293,""
2013-07-15,"A6","Fr","",6,3,4,279,""
2013-07-15,"A6","Fr","",6,3,5,289,""
2013-07-15,"A6","Fr","",6,3,6,286,""
2013-07-15,"A6","Fr","",6,3,7,287,""
2013-07-15,"A6","Fr","",6,3,8,278,""
2013-07-15,"A6","Fr","",6,3,9,,""
2013-07-15,"A6","Fr","",6,4,1,285,""
2013-07-15,"A6","Fr","",6,4,2,284,""
2013-07-15,"A6","Fr","",6,4,3,288,""
2013-07-15,"A6","Fr","",6,4,4,300,""
2013-07-15,"A6","Fr","",6,4,5,295,""
2013-07-15,"A6","Fr","",6,4,6,294,""
2013-07-15,"A6","Fr","",6,4,7,301,""
2013-07-15,"A6","Fr","",6,4,8,297,""
2013-07-15,"A6","Fr","",6,4,9,285,""
2013-07-15,"A6","Fr","",6,5,1,,""
2013-07-15,"A6","Fr","",6,5,2,,""
2013-07-15,"A6","Fr","",6,5,3,290,""
2013-07-15,"A6","Fr","",6,5,4,294,""
2013-07-15,"A6","Fr","",6,5,5,292,""
2013-07-15,"A6","Fr","",6,5,6,290,""
2013-07-15,"A6","Fr","",6,5,7,296,""
2013-07-15,"A6","Fr","",6,5,8,304,""
2013-07-15,"A6","Fr","",6,5,9,293,""
2013-07-15,"C1","Fr","PR1",1,6,1,262,""
2013-07-15,"C1","Fr","PR1",1,6,2,268,""
2013-07-15,"C1","Fr","PR1",1,6,3,269,""
2013-07-15,"C1","Fr","PR1",1,6,4,263,""
2013-07-15,"C1","Fr","PR1",1,6,5,265,""
2013-07-15,"C1","Fr","PR1",1,6,6,249,""
2013-07-15,"C1","Fr","PR1",1,6,7,267,""
2013-07-15,"C1","Fr","PR1",1,6,8,275,""
2013-07-15,"C1","Fr","PR1",1,6,9,262,""
2013-07-15,"C1","Fr","PR1",1,7,1,281,""
2013-07-15,"C1","Fr","PR1",1,7,2,281,""
2013-07-15,"C1","Fr","PR1",1,7,3,284,""
2013-07-15,"C1","Fr","PR1",1,7,4,281,""
2013-07-15,"C1","Fr","PR1",1,7,5,281,""
2013-07-15,"C1","Fr","PR1",1,7,6,275,""
2013-07-15,"C1","Fr","PR1",1,7,7,276,""
2013-07-15,"C1","Fr","PR1",1,7,8,,""
2013-07-15,"C1","Fr","PR1",1,7,9,,""
2013-07-15,"C1","Fr","PR1",1,8,1,,""
2013-07-15,"C1","Fr","PR1",1,8,2,280,""
2013-07-15,"C1","Fr","PR1",1,8,3,285,""
2013-07-15,"C1","Fr","PR1",1,8,4,286,""
2013-07-15,"C1","Fr","PR1",1,8,5,275,""
2013-07-15,"C1","Fr","PR1",1,8,6,,""
2013-07-15,"C1","Fr","PR1",1,8,7,,""
2013-07-15,"C1","Fr","PR1",1,8,8,,""
2013-07-15,"C1","Fr","PR1",1,8,9,,""
2013-07-15,"B2","PR","CS2",1,5,1,,""
2013-07-15,"B2","PR","CS2",1,5,2,,""
2013-07-15,"B2","PR","CS2",1,5,3,223,""
2013-07-15,"B2","PR","CS2",1,5,4,220,""
2013-07-15,"B2","PR","CS2",1,5,5,221,""
2013-07-15,"B2","PR","CS2",1,5,6,230,""
2013-07-15,"B2","PR","CS2",1,5,7,227,""
2013-07-15,"B2","PR","CS2",1,5,8,219,""
2013-07-15,"B2","PR","CS2",1,5,9,216,""
2013-07-15,"B2","PR","CS2",1,6,1,234,""
2013-07-15,"B2","PR","CS2",1,6,2,238,""
2013-07-15,"B2","PR","CS2",1,6,3,239,""
2013-07-15,"B2","PR","CS2",1,6,4,240,""
2013-07-15,"B2","PR","CS2",1,6,5,235,""
2013-07-15,"B2","PR","CS2",1,6,6,237,""
2013-07-15,"B2","PR","CS2",1,6,7,235,""
2013-07-15,"B2","PR","CS2",1,6,8,231,""
2013-07-15,"B2","PR","CS2",1,6,9,236,""
2013-07-15,"B2","PR","CS2",1,7,1,225,""
2013-07-15,"B2","PR","CS2",1,7,2,234,""
2013-07-15,"B2","PR","CS2",1,7,3,235,""
2013-07-15,"B2","PR","CS2",1,7,4,237,""
2013-07-15,"B2","PR","CS2",1,7,5,238,""
2013-07-15,"B2","PR","CS2",1,7,6,232,""
2013-07-15,"B2","PR","CS2",1,7,7,242,""
2013-07-15,"B2","PR","CS2",1,7,8,244,""
2013-07-15,"B2","PR","CS2",1,7,9,236,""
2013-07-15,"C4","PR","",4,1,1,261,""
2013-07-15,"C4","PR","",4,1,2,258,""
2013-07-15,"C4","PR","",4,1,3,257,""
2013-07-15,"C4","PR","",4,1,4,258,""
2013-07-15,"C4","PR","",4,1,5,261,""
2013-07-15,"C4","PR","",4,1,6,261,""
2013-07-15,"C4","PR","",4,1,7,270,""
2013-07-15,"C4","PR","",4,1,8,262,""
2013-07-15,"C4","PR","",4,1,9,265,""
2013-07-15,"C4","PR","",4,7,1,,""
2013-07-15,"C4","PR","",4,7,2,211,""
2013-07-15,"C4","PR","",4,7,3,230,""
2013-07-15,"C4","PR","",4,7,4,234,""
2013-07-15,"C4","PR","",4,7,5,225,""
2013-07-15,"C4","PR","",4,7,6,,""
2013-07-15,"C4","PR","",4,7,7,250,""
2013-07-15,"C4","PR","",4,7,8,251,""
2013-07-15,"C4","PR","",4,7,9,249,""
2013-07-15,"C4","PR","",4,8,1,245,""
2013-07-15,"C4","PR","",4,8,2,249,""
2013-07-15,"C4","PR","",4,8,3,256,""
2013-07-15,"C4","PR","",4,8,4,259,""
2013-07-15,"C4","PR","",4,8,5,258,""
2013-07-15,"C4","PR","",4,8,6,253,""
2013-07-15,"C4","PR","",4,8,7,251,""
2013-07-15,"C4","PR","",4,8,8,250,""
2013-07-15,"C4","PR","",4,8,9,253,""
2013-07-15,"C6","PR","",6,4,1,,""
2013-07-15,"C6","PR","",6,4,2,248,""
2013-07-15,"C6","PR","",6,4,3,257,""
2013-07-15,"C6","PR","",6,4,4,251,""
2013-07-15,"C6","PR","",6,4,5,247,""
2013-07-15,"C6","PR","",6,4,6,241,""
2013-07-15,"C6","PR","",6,4,7,248,""
2013-07-15,"C6","PR","",6,4,8,,""
2013-07-15,"C6","PR","",6,4,9,,""
2013-07-15,"C6","PR","",6,5,1,251,""
2013-07-15,"C6","PR","",6,5,2,244,""
2013-07-15,"C6","PR","",6,5,3,245,""
2013-07-15,"C6","PR","",6,5,4,238,""
2013-07-15,"C6","PR","",6,5,5,235,""
2013-07-15,"C6","PR","",6,5,6,242,""
2013-07-15,"C6","PR","",6,5,7,237,""
2013-07-15,"C6","PR","",6,5,8,238,""
2013-07-15,"C6","PR","",6,5,9,238,""
2013-07-15,"C6","PR","",6,6,1,,""
2013-07-15,"C6","PR","",6,6,2,,""
2013-07-15,"C6","PR","",6,6,3,,""
2013-07-15,"C6","PR","",6,6,4,,""
2013-07-15,"C6","PR","",6,6,5,,""
2013-07-15,"C6","PR","",6,6,6,240,""
2013-07-15,"C6","PR","",6,6,7,,""
2013-07-15,"C6","PR","",6,6,8,244,""
2013-07-15,"C6","PR","",6,6,9,242,""
2013-07-15,"D5","Pu","",5,1,1,,""
2013-07-15,"D5","Pu","",5,1,2,241,""
2013-07-15,"D5","Pu","",5,1,3,252,""
2013-07-15,"D5","Pu","",5,1,4,252,""
2013-07-15,"D5","Pu","",5,1,5,257,""
2013-07-15,"D5","Pu","",5,1,6,262,""
2013-07-15,"D5","Pu","",5,1,7,258,""
2013-07-15,"D5","Pu","",5,1,8,256,""
2013-07-15,"D5","Pu","",5,1,9,257,""
2013-07-15,"D5","Pu","",5,7,1,256,""
2013-07-15,"D5","Pu","",5,7,2,256,""
2013-07-15,"D5","Pu","",5,7,3,255,""
2013-07-15,"D5","Pu","",5,7,4,263,""
2013-07-15,"D5","Pu","",5,7,5,259,""
2013-07-15,"D5","Pu","",5,7,6,256,""
2013-07-15,"D5","Pu","",5,7,7,255,""
2013-07-15,"D5","Pu","",5,7,8,252,""
2013-07-15,"D5","Pu","",5,7,9,242,""
2013-07-15,"D5","Pu","",5,8,1,259,""
2013-07-15,"D5","Pu","",5,8,2,257,""
2013-07-15,"D5","Pu","",5,8,3,262,""
2013-07-15,"D5","Pu","",5,8,4,260,""
2013-07-15,"D5","Pu","",5,8,5,257,""
2013-07-15,"D5","Pu","",5,8,6,251,""
2013-07-15,"D5","Pu","",5,8,7,254,""
2013-07-15,"D5","Pu","",5,8,8,258,""
2013-07-15,"D5","Pu","",5,8,9,263,""
2014-07-17,"X2","C","",2,1,1,225,""
2014-07-17,"X2","C","",2,1,2,238,""
2014-07-17,"X2","C","",2,1,3,234,""
2014-07-17,"X2","C","",2,1,4,237,""
2014-07-17,"X2","C","",2,1,5,241,""
2014-07-17,"X2","C","",2,1,6,244,""
2014-07-17,"X2","C","",2,1,7,241,""
2014-07-17,"X2","C","",2,1,8,250,""
2014-07-17,"X2","C","",2,1,9,249,""
2014-07-17,"X2","C","",2,2,1,235,""
2014-07-17,"X2","C","",2,2,2,237,""
2014-07-17,"X2","C","",2,2,3,224,""
2014-07-17,"X2","C","",2,2,4,,""
2014-07-17,"X2","C","",2,2,5,,""
2014-07-17,"X2","C","",2,2,6,230,""
2014-07-17,"X2","C","",2,2,7,236,""
2014-07-17,"X2","C","",2,2,8,235,""
2014-07-17,"X2","C","",2,2,9,,""
2014-07-17,"X2","C","",2,8,1,240,""
2014-07-17,"X2","C","",2,8,2,235,""
2014-07-17,"X2","C","",2,8,3,228,""
2014-07-17,"X2","C","",2,8,4,235,""
2014-07-17,"X2","C","",2,8,5,235,""
2014-07-17,"X2","C","",2,8,6,245,""
2014-07-17,"X2","C","",2,8,7,242,""
2014-07-17,"X2","C","",2,8,8,244,""
2014-07-17,"X2","C","",2,8,9,230,""
2014-07-17,"X3","C","",3,1,1,,""
2014-07-17,"X3","C","",3,1,2,262,""
2014-07-17,"X3","C","",3,1,3,260,""
2014-07-17,"X3","C","",3,1,4,252,""
2014-07-17,"X3","C","",3,1,5,263,""
2014-07-17,"X3","C","",3,1,6,246,""
2014-07-17,"X3","C","",3,1,7,247,""
2014-07-17,"X3","C","",3,1,8,255,""
2014-07-17,"X3","C","",3,1,9,255,""
2014-07-17,"X3","C","",3,2,1,254,""
2014-07-17,"X3","C","",3,2,2,243,""
2014-07-17,"X3","C","",3,2,3,248,""
2014-07-17,"X3","C","",3,2,4,253,""
2014-07-17,"X3","C","",3,2,5,258,""
2014-07-17,"X3","C","",3,2,6,256,""
2014-07-17,"X3","C","",3,2,7,252,""
2014-07-17,"X3","C","",3,2,8,246,""
2014-07-17,"X3","C","",3,2,9,248,""
2014-07-17,"X3","C","",3,3,1,259,""
2014-07-17,"X3","C","",3,3,2,,""
2014-07-17,"X3","C","",3,3,3,,""
2014-07-17,"X3","C","",3,3,4,252,""
2014-07-17,"X3","C","",3,3,5,250,""
2014-07-17,"X3","C","",3,3,6,252,""
2014-07-17,"X3","C","",3,3,7,256,""
2014-07-17,"X3","C","",3,3,8,252,""
2014-07-17,"X3","C","",3,3,9,261,""
2014-07-17,"X4","C","",4,1,1,,""
2014-07-17,"X4","C","",4,1,2,,""
2014-07-17,"X4","C","",4,1,3,,""
2014-07-17,"X4","C","",4,1,4,,""
2014-07-17,"X4","C","",4,1,5,,""
2014-07-17,"X4","C","",4,1,6,,""
2014-07-17,"X4","C","",4,1,7,,""
2014-07-17,"X4","C","",4,1,8,,""
2014-07-17,"X4","C","",4,1,9,,""
2014-07-17,"X4","C","",4,2,1,,""
2014-07-17,"X4","C","",4,2,2,,""
2014-07-17,"X4","C","",4,2,3,,""
2014-07-17,"X4","C","",4,2,4,,""
2014-07-17,"X4","C","",4,2,5,,""
2014-07-17,"X4","C","",4,2,6,,""
2014-07-17,"X4","C","",4,2,7,,""
2014-07-17,"X4","C","",4,2,8,,""
2014-07-17,"X4","C","",4,2,9,,""
2014-07-17,"X4","C","",4,3,1,,""
2014-07-17,"X4","C","",4,3,2,,""
2014-07-17,"X4","C","",4,3,3,,""
2014-07-17,"X4","C","",4,3,4,,""
2014-07-17,"X4","C","",4,3,5,,""
2014-07-17,"X4","C","",4,3,6,,""
2014-07-17,"X4","C","",4,3,7,,""
2014-07-17,"X4","C","",4,3,8,,""
2014-07-17,"X4","C","",4,3,9,,""
2014-07-17,"X6","C","",6,5,1,,""
2014-07-17,"X6","C","",6,5,2,260,""
2014-07-17,"X6","C","",6,5,3,258,""
2014-07-17,"X6","C","",6,5,4,257,""
2014-07-17,"X6","C","",6,5,5,251,""
2014-07-17,"X6","C","",6,5,6,259,""
2014-07-17,"X6","C","",6,5,7,262,""
2014-07-17,"X6","C","",6,5,8,265,""
2014-07-17,"X6","C","",6,5,9,268,""
2014-07-17,"X6","C","",6,6,1,252,""
2014-07-17,"X6","C","",6,6,2,252,""
2014-07-17,"X6","C","",6,6,3,250,""
2014-07-17,"X6","C","",6,6,4,255,""
2014-07-17,"X6","C","",6,6,5,,""
2014-07-17,"X6","C","",6,6,6,254,""
2014-07-17,"X6","C","",6,6,7,,""
2014-07-17,"X6","C","",6,6,8,258,""
2014-07-17,"X6","C","",6,6,9,251,""
2014-07-17,"X6","C","",6,7,1,,""
2014-07-17,"X6","C","",6,7,2,,""
2014-07-17,"X6","C","",6,7,3,,""
2014-07-17,"X6","C","",6,7,4,,""
2014-07-17,"X6","C","",6,7,5,255,""
2014-07-17,"X6","C","",6,7,6,257,""
2014-07-17,"X6","C","",6,7,7,258,""
